record_id,no_abstract,title,abstract,doi,eligible,family_abstract,family,family_symmetric,subclass,hybrid,reason,minutes
RC-6475,,Data-driven prediction of reversal of large-scale circulation in turbulent convection,"Large-scale circulation (LSC) quasi-stably emerges in the turbulent Rayleigh-Bénard convection, and intermittently reverses its rotational direction in two-dimensional turbulent convection. In this paper, direct numerical simulations of the intermittent reversals of the LSC in a two-dimensional square domain are performed, and the time series of the total angular momentum indicating the rotational direction of the LSC is predicted by reservoir computing whose input consists of the shear rates and temperatures at six locations on the sidewalls. The total angular momentum in the simulation after times shorter than half the typical duration of the quasi-stable states is successfully reproduced by the locally-measurable quantities on the sidewalls because the secondary rolls accompanied by the boundary flow characterize the reversal of the LSC. The successful prediction by such sparse input derived from local measurements on the sidewalls demonstrates that the reservoir computing prediction of the reversal is feasible in laboratory experiments and industrial applications. On the other hand, long-term prediction often provides the total angular momentum opposite in sign to the one in the simulations in the late parts of long quasi-stable states. The statistical independence of each reversal implies that the prediction after the reversal is difficult or even impossible, and the training data in the late part in the long quasi-stable state, which rarely appears, is contaminated by the statistically-independent angular momentum in the subsequent quasi-stable state.",10.1103/physrevfluids.10.053501,yes,unassignable,F1,,F1.1,,"Went to full text. Section II and Fig. 1(b) name what the abstract withheld: ""echo state networks with leaky-integrator neurons (LI-ESN)"", a reservoir vector of Nres nodes, Wres with connectivity 0.05 drawn from a uniform distribution and spectral radius 0.7, leak ratio 0.3, and Wout fixed by ridge regression. That settles steps 1 and 3, so F1, and F1.1 on the leaky-integrator update. The sparse random matrix is F1.1 and not F1.4, per F1.4's own note that sparsity is an initialisation detail. At pass 1 I read the ""six locations on the sidewalls"" as input measurement points rather than reservoir nodes, and the full text bears that out: 12 inputs, Nres nodes, separate quantities. Hyperparameters are swept in Fig. 12, so D3 is hp-optimized.",41
RC-5956,,Word2Spike: Poisson Rate Coding for Associative Memories and Neuromorphic Algorithms,"Spiking neural networks offer a promising path toward energy-efficient, brain-like associative memory. This paper introduces Word2Spike, a novel rate coding mechanism that combines continuous word embeddings and neuromorphic architectures. We develop a one-to-one mapping that converts multi-dimensional word vectors into spike-based attractor states using Poisson processes. Using BitNet b1.58 quantization, we maintain 97% semantic similarity of continuous embeddings on SimLex-999 while achieving 100% reconstruction accuracy on 10,000 words from OpenAI's text-embedding-3-large. We preserve analogy performance (100% of original embedding performance) even under intentionally introduced noise, indicating a resilient mechanism for semantic encoding in neuromorphic systems. Next steps include integrating the mapping with spiking transformers and liquid state machines (resembling Hopfield Networks) for further evaluation.",10.48550/arxiv.2509.07361,no,unassignable,unassignable,,,,"Not eligible, not-rc:no-state-map under §4.2, and this one rests on what the abstract says rather than on what it leaves out. The reported work is a one-to-one Poisson rate coding of static word embeddings; there's no reservoir and nothing fit on reservoir states. Liquid state machines appear only under ""next steps"". not-rc:static-input would fit as well, but I've coded the missing state map as primary because that's what the reported work actually lacks.",6
RC-0581,,Reservoir Computing with Charge‐Trap Memory Based on a MoS<sub>2</sub> Channel for Neuromorphic Engineering,"Abstract Novel memory devices are essential for developing low power, fast, and accurate in‐memory computing and neuromorphic engineering concepts that can compete with the conventional complementary metal−oxide−semiconductor (CMOS) digital processors. 2D semiconductors provide a novel platform for advanced semiconductors with atomic thickness, low‐current operation, and capability of 3D integration. This work presents a charge‐trap memory (CTM) device with a MoS 2 channel where memory operation arises, thanks to electron trapping/detrapping at interface states. Transistor operation, memory characteristics, and synaptic potentiation/depression for neuromorphic applications are demonstrated. The CTM device shows outstanding linearity of the potentiation by applied drain pulses of equal amplitude. Finally, pattern recognition is demonstrated by reservoir computing where the input pattern is applied as a stimulation of the MoS 2 ‐based CTMs, while the output current after stimulation is processed by a feedforward readout network. The good accuracy, the low current operation, and the robustness to input random bit flip makes the CTM device a promising technology for future high‐density neuromorphic computing concepts.",10.1002/adma.202205381,yes,F1,F1,,,,"Same reasoning as RC-1144. The memory is electron trapping and detrapping inside each device, not propagation delay round a loop, so F2 is out on mechanism, and fabricated charge-trap devices addressed by their own terminals give F1. Subclass blank: no device count and no arrangement, so F1.6 against F1.1 stays open. The ""feedforward readout network"" is D2 nonlinear-readout and satisfies I3.",9
RC-6434,,Latent Representation in Human–Robot Interaction With Explicit Consideration of Periodic Dynamics,"This paper presents a new data-driven framework for analyzing periodic physical human-robot interaction (pHRI) in latent state space. To elaborate human understanding and/or robot control during pHRI, the model representing pHRI is critical. Recent developments of deep learning technologies would enable us to learn such a model from a dataset collected from the actual pHRI. Our framework is developed based on variational recurrent neural network (VRNN), which can inherently handle time-series data like one pHRI generates. This paper modifies VRNN in order to include the latent dynamics from robot to human explicitly. In addition, to analyze periodic motions like walking, we integrate a new recurrent network based on reservoir computing (RC), which has random and fixed connections between numerous neurons, with VRNN. By augmenting RC into complex domain, periodic behavior can be represented as the phase rotation in complex domain without decaying the amplitude. For verification of the proposed framework, a rope-rotation/swinging experiment was analyzed. The proposed framework, trained on the dataset collected from the experiment, achieved the latent state space where the differences in periodic motions can be distinguished. Such a well-distinguished space yielded the best prediction accuracy of the human observations and the robot actions. The attached video can be seen in youtube: https://youtu.be/umn0MVcIpsY",10.1109/thms.2022.3182909,yes,unassignable,F1,,F1.1,,"Went to full text and both of my questions closed. On membership, I2 holds, and §V says it flatly: ""We notice again that the parameters of (C)RC (i.e. win, wrc, b, and gamma) are not updated."" The abstract had left open whether the VRNN's trained recurrence was carrying the state. It isn't, because ""we employ RC as one of the RNNs"", i.e. the reservoir replaces the VRNN recurrence of eqs. (5) and (6) precisely to avoid backpropagation through time. What is trained is the encoder, decoder and prior networks and the fully-connected layers fed from the reservoir output, so I3 holds with D2 nonlinear-readout. On family, eq. (10) is h(t+1) = (1-gamma) h(t) + gamma tanh(win u(t) + wrc h(t) + b) over numerous neurons with randomly sparse wrc at spectral radius 0.9, so F1, and F1.1 because that is a leaky-integrator tanh update, F1.1's criterion verbatim. I want the tension with F1.5 on the record: the state is complex-valued and the paper's whole point is that ""the rotation of phase leads to the utilization of the periodic past information"", which is F1.5's node-state clause. But F1.5 also wants oscillatory coupling, and here wrc is random while the oscillation comes from the complex leaky integrator gamma. F1.1 under §0.4.",62
RC-0541,,Crystallinity‐controlled volatility tuning of <scp>ZrO<sub>2</sub></scp> memristor for physical reservoir computing,"Abstract Memristors have been emerging as promising candidates for computing systems in post‐Moore applications, particularly electrochemical metallization‐based memristors, which are poised to play a crucial role in neuromorphic computing and machine learning. These devices are favored for their high integration density, low power consumption, rapid switching speed, and significant on/off ratio. Despite advancements in various materials, achieving adequate electrical performance—characterized by threshold switching (TS) behavior, spontaneous reset, and low off‐state resistance—remains challenging due to the limitations in conductance filament control within the nanoscale resistive switching layer. In this study, we introduce an efficient method to control the ZrO 2 crystallinity for tunable volatility memristor by establishing the filament paths through a simple thermal treatment process in a single oxide layer. The effect of ZrO 2 crystallinity to create localized filament paths for enhancing Ag migration and improving TS behavior is also investigated. In contrast to its amorphous counterpart, crystallized ZrO 2 volatile memristor, treated by rapid thermal annealing, demonstrates a steep switching slope (0.21 mV dec –1 ), a high resistance state (25 GΩ), and forming‐free characteristics. The superior volatile performance is attributed to localized conductive filaments along low‐energy pathways, such as dislocations and grain boundaries. By coupling with enhanced volatile switching behavior, we believe that the volatility is finely tuned to function as short‐term memory for reservoir computing, making it particularly well‐suited for tasks such as audio and image recognition. image",10.1002/inf2.12635,yes,unassignable,F2,,F2.1,,"Re-coded under R11, 2026-09-05; the original call and its basis are in the deviations log. Section 2.3 reports two reservoir implementations. The main-text one is a simulation: ""we adapted a delay feedback-based RC architecture using a single physical nonlinear node with delayed feedback to increase the number of nodes in the reservoir"", giving 97.4% on NIST TI-46 spoken digits and 87.1% on MNIST, with the device's potentiation and relaxation fitted from measured traces. One element, one delay loop, virtual nodes from the loop, so F2 and F2.1. The second implementation is measured but sits in the supplement: TS memristors D1 to D5 used as reservoirs to classify 5 by 4 digit images, input preprocessed into 4-bit pulse trains, each device's final current state serving as one state element, Figs. S11 and S12. That half is a bank of individually addressed devices each supplying its own short-term memory, so F1 and F1.6 under R6. R11 codes the record on the system whose results the main text reports and puts the second here, which gives F2.1. R1 still applies at extraction: this record carries a hardware demonstration and a simulation and should become two records with a shared record_group_id, F1.6 for the measured half and F2.1 for the simulated one, coded separately on D1 and D6.",46
RC-3336,,Finite‐Block Polynomial and Volterra Structure in Reservoir Computing,"ABSTRACT Reservoir computing is analyzed through the algebraic structure generated by finite‐width reservoirs on fixed input blocks. For linear and quadratic logistic activations, the induced input‐to‐state map admits an exact finite Volterra representation, yielding an explicit characterization of the associated hypothesis class. It is shown that reservoir width imposes rank constraints on the admissible Volterra kernels, which in the quadratic case reduce to classical matrix‐rank limitations and lead to approximation estimates in terms of spectral decay and best low‐rank approximation error. A Volterra‐Barron complexity measure is introduced for finite‐block polynomial functionals, and corresponding approximation rates are established. Numerical experiments successfully validate the theoretical predictions.",10.1002/nla.70104,yes,unassignable,F1,,F1.1,,"Went to full text, which settles step 1, the thing I couldn't get from the abstract. The object of study is an ordinary ESN recursion: §2 gives it with ""sigma a Lipschitz activation function applied componentwise; a classical choice is sigma = tanh"", A scaled to enforce the echo state property, and then ""Starting from the fixed initial state r0, and driven by the finite input block x = (u1, ..., um), the recursion (1) defines"" the map. So an internal state is carried across steps after all: F1, not F3, and F1.1 on continuous componentwise activations, the identity and the quadratic logistic in their case. What made the abstract read F3-ish is the paper's result rather than its architecture. It proves that on a fixed input block a finite-width reservoir induces an exact finite Volterra expansion, ""following directly from the algebraic structure of the recursion rather than from truncation of an infinite expansion"". That's worth raising properly at the taxonomy meeting: it is a proof that the F1/F3 distinction collapses on finite blocks for polynomial activations, which bears on §5's claim that F3 has no fading memory and on falsification test 1. Readout trained in §7 and the rates validated numerically, so eligible.",57
RC-5348,,"Forecasting Measles Incidence in the Philippines: A Comparative Analysis of SARIMA, Holt-Winters, ESN, and NNAR Models","This study examines the incidence of measles in the Philippines from January 1, 2017, to October 28, 2023, employing four distinct forecasting models: Seasonal Autoregressive Integrated Moving Average (SARIMA), Holt-Winters Exponential Smoothing, Echo State Network (ESN), and Neural Network Autoregressive (NNAR). The primary objective is to determine the most effective method for predicting short-term measles incidence trends. Using officially released data on notifiable diseases, the study addresses challenges such as missing data through Predictive Mean Matching (PMM) and evaluates the performances of the models based on root mean squared error (RMSE), mean absolute percentage error (MAPE), and mean absolute error (MAE). The results indicate that the NNAR model outperforms the others, demonstrating its superior ability to handle complex, non-linear data patterns, crucial for epidemiological forecasting. The study highlights the impact of factors like vaccine hesitancy and healthcare accessibility on measles incidence and underscores the importance of leveraging advanced forecasting models in public health decision-making. The findings emphasize the need for targeted vaccination campaigns, resource allocation, and public health communication strategies based on predictive modeling insights. This research contributes to the field of epidemiological forecasting, offering policy recommendations for improving public health response and preparedness in the face of infectious disease outbreaks.",10.31893/multiscience.2025356,yes,F1,F1,,F1.1,,"Family and subclass rest on the ESN name and nothing more, which I'm content with because F1.1's criterion is written as ""the default ESN"", so an unelaborated ESN has a home there. Eligible even though NNAR wins the comparison: §4.1 asks for at least one quantitative performance result, and RMSE, MAPE and MAE are all reported for the ESN.",4
RC-0972,,Performance optimization research of reservoir computing system based on an optical feedback semiconductor laser under electrical information injection,"for accomplishing nonlinear channel equalization tests under a signal-to-noise ratio (SNR) of 32 dB. Moreover, under a given RC performance level, the information processing rate of the RC can be improved by increasing the SL current.",10.1364/oe.27.019931,yes,unassignable,F2,,F2.1,,"Went to full text, and §2 gives the construction in full: ""the SL is a nonlinear element taken as the reservoir"", then ""the feedback time tau is divided into n equal parts, and then the time interval theta is theta = tau/n. The output of the SL in an interval of theta is interpreted as a state of a virtual network node"", with n = 50 virtual nodes, a binary mask drawn from {0.1, 1}, and the state matrix X used to train and test. One element, one delay loop, virtual nodes by time multiplexing, so F2 and F2.1, with the tau over theta mechanism exactly as §4 describes it. Separate problem that needs fixing at source: the abstract in the packet is a fragment. It starts mid-sentence at ""for accomplishing nonlinear channel equalization tests under a signal-to-noise ratio (SNR) of 32 dB"" and describes no system at all. The paper's real abstract does mention the feedback delay time, so with the field intact this record would have resolved at pass 1 and never needed a full-text read. That's an ingest defect in the corpus file rather than a reporting failure by the authors, and someone should count how many other abstracts are truncated before the abstract-pass rate is reported.",36
RC-6287,,KNOWM memristors in a bridge synapse delay-based reservoir computing system for detection of epileptic seizures,"Nanodevices that show the potential for non-linear transformation of electrical signals and various forms of memory can be successfully used in new computational paradigms, such as neuromorphic or reservoir computing (RC). Dedicated hardware implementations based on functional neuromorphic structures significantly reduce energy consumption and/or increase computational capabilities of a given artificial neural network system. Concepts of RC, which as a flexible computational paradigm can be highly inclusive, are often used as a model to describe computations performed in materia. With mostly fixed internal structure, solid-state devices, especially memristors, are studied as computational substrates in various RC systems. In this work, we present single-node Echo State Machine (SNESM) RC system based on bridge synapse as a computational substrate (consisting of 4 memristors and a differential amplifier) used for epileptic seizure detection. KNOWM memristors were posed as ideal candidates because of their easy prototyping and reliability of operation. In this account, we present an application of commercially available KNOWM memristors in various neuromorphic applications, from simple analysis of switching and internal dynamics (elucidated form noise spectroscopy and total harmonic distortion analysis) to the classification and recognition of complex time series: epilepsy seizure recognition using a wrist-worn triaxial accelerometer.",10.1080/17445760.2022.2088751,yes,F2,F2,,F2.1,,"Stated rather than inferred: ""delay-based reservoir computing system"" and ""single-node Echo State Machine (SNESM)"". One nonlinear element, the bridge synapse of 4 memristors and a differential amplifier, in one delay loop, so F2.1. I'd keep this one as the standing counter-example to the substrate shortcut: memristive substrate, F2 family, against RC-1144 and RC-0581 which share the substrate and come out F1.",5
RC-3525,,Improving the prediction stability of reservoir computing by means of dynamic structural bias,"Optimization of computational efficiency and improving predictive stability remain key challenges in reservoir computing (RC) research. Building on the principle of Poincaré recurrence theorem, we propose a dynamic structural bias RC algorithm, significantly improving the prediction stability. Our framework refines the conventional training process by introducing a two-step mechanism. First, a reference state library is constructed from the training time series. Second, this library is used in conjunction with a dot-product similarity calculation to generate a structural, dynamic bias term. This dynamic bias introduces high-fidelity historical information into the reservoir's state update equation. The benefit is that the bias in the prediction phase acts as a dynamic constraint guiding the reservoir evolution toward the true known trajectory. We prove that our algorithm enhances the model's ability to maintain generalized synchronization with the target system's attractor in the autonomous prediction phase. Consequently, our method achieves two key advantages: predictive stability is dramatically improved, and the model's sensitivity to network hyperparameters is reduced. We demonstrate the effectiveness of our method through the reconstruction and long-term prediction of various low-dimensional chaotic systems, showing a substantially increased prediction horizon and a more stable, faithful reproduction of the attractor's structural geometry.",10.1103/5nbr-bqxb,yes,F1,F1,,,,"""The reservoir's state update equation"" together with ""network hyperparameters"" gives me an internal state across steps and a coupled node network, so F1, and there's no delay loop so step 2 is a no. Subclass blank: no activation or update rule is stated, and the added bias isn't a topology constraint so F1.4 is out. I didn't record it as a hybrid, on the §2.1 dominance test. Take the structural bias away and the reservoir's fading memory is intact; take the reservoir away and the history dependence is gone altogether. F1 dominates and there is no second mechanism to name. Worth a ruling, though: the bias injects information derived from the training trajectory into the state update during the prediction phase. It isn't a loss gradient, so I read I2 as satisfied, but it sits closer to the state map than anything §1.2 currently rules on.",11
