record_id,no_abstract,title,abstract,doi,eligible,family_abstract,family,family_symmetric,subclass,hybrid,reason,minutes
RC-6475,,Data-driven prediction of reversal of large-scale circulation in turbulent convection,"Large-scale circulation (LSC) quasi-stably emerges in the turbulent Rayleigh-Bénard convection, and intermittently reverses its rotational direction in two-dimensional turbulent convection. In this paper, direct numerical simulations of the intermittent reversals of the LSC in a two-dimensional square domain are performed, and the time series of the total angular momentum indicating the rotational direction of the LSC is predicted by reservoir computing whose input consists of the shear rates and temperatures at six locations on the sidewalls. The total angular momentum in the simulation after times shorter than half the typical duration of the quasi-stable states is successfully reproduced by the locally-measurable quantities on the sidewalls because the secondary rolls accompanied by the boundary flow characterize the reversal of the LSC. The successful prediction by such sparse input derived from local measurements on the sidewalls demonstrates that the reservoir computing prediction of the reversal is feasible in laboratory experiments and industrial applications. On the other hand, long-term prediction often provides the total angular momentum opposite in sign to the one in the simulations in the late parts of long quasi-stable states. The statistical independence of each reversal implies that the prediction after the reversal is difficult or even impossible, and the training data in the late part in the long quasi-stable state, which rarely appears, is contaminated by the statistically-independent angular momentum in the subsequent quasi-stable state.",10.1103/physrevfluids.10.053501,,,,,,,,
RC-5956,,Word2Spike: Poisson Rate Coding for Associative Memories and Neuromorphic Algorithms,"Spiking neural networks offer a promising path toward energy-efficient, brain-like associative memory. This paper introduces Word2Spike, a novel rate coding mechanism that combines continuous word embeddings and neuromorphic architectures. We develop a one-to-one mapping that converts multi-dimensional word vectors into spike-based attractor states using Poisson processes. Using BitNet b1.58 quantization, we maintain 97% semantic similarity of continuous embeddings on SimLex-999 while achieving 100% reconstruction accuracy on 10,000 words from OpenAI's text-embedding-3-large. We preserve analogy performance (100% of original embedding performance) even under intentionally introduced noise, indicating a resilient mechanism for semantic encoding in neuromorphic systems. Next steps include integrating the mapping with spiking transformers and liquid state machines (resembling Hopfield Networks) for further evaluation.",10.48550/arxiv.2509.07361,,,,,,,,
RC-0581,,Reservoir Computing with Charge‐Trap Memory Based on a MoS<sub>2</sub> Channel for Neuromorphic Engineering,"Abstract Novel memory devices are essential for developing low power, fast, and accurate in‐memory computing and neuromorphic engineering concepts that can compete with the conventional complementary metal−oxide−semiconductor (CMOS) digital processors. 2D semiconductors provide a novel platform for advanced semiconductors with atomic thickness, low‐current operation, and capability of 3D integration. This work presents a charge‐trap memory (CTM) device with a MoS 2 channel where memory operation arises, thanks to electron trapping/detrapping at interface states. Transistor operation, memory characteristics, and synaptic potentiation/depression for neuromorphic applications are demonstrated. The CTM device shows outstanding linearity of the potentiation by applied drain pulses of equal amplitude. Finally, pattern recognition is demonstrated by reservoir computing where the input pattern is applied as a stimulation of the MoS 2 ‐based CTMs, while the output current after stimulation is processed by a feedforward readout network. The good accuracy, the low current operation, and the robustness to input random bit flip makes the CTM device a promising technology for future high‐density neuromorphic computing concepts.",10.1002/adma.202205381,,,,,,,,
RC-6434,,Latent Representation in Human–Robot Interaction With Explicit Consideration of Periodic Dynamics,"This paper presents a new data-driven framework for analyzing periodic physical human-robot interaction (pHRI) in latent state space. To elaborate human understanding and/or robot control during pHRI, the model representing pHRI is critical. Recent developments of deep learning technologies would enable us to learn such a model from a dataset collected from the actual pHRI. Our framework is developed based on variational recurrent neural network (VRNN), which can inherently handle time-series data like one pHRI generates. This paper modifies VRNN in order to include the latent dynamics from robot to human explicitly. In addition, to analyze periodic motions like walking, we integrate a new recurrent network based on reservoir computing (RC), which has random and fixed connections between numerous neurons, with VRNN. By augmenting RC into complex domain, periodic behavior can be represented as the phase rotation in complex domain without decaying the amplitude. For verification of the proposed framework, a rope-rotation/swinging experiment was analyzed. The proposed framework, trained on the dataset collected from the experiment, achieved the latent state space where the differences in periodic motions can be distinguished. Such a well-distinguished space yielded the best prediction accuracy of the human observations and the robot actions. The attached video can be seen in youtube: https://youtu.be/umn0MVcIpsY",10.1109/thms.2022.3182909,,,,,,,,
RC-0541,,Crystallinity‐controlled volatility tuning of <scp>ZrO<sub>2</sub></scp> memristor for physical reservoir computing,"Abstract Memristors have been emerging as promising candidates for computing systems in post‐Moore applications, particularly electrochemical metallization‐based memristors, which are poised to play a crucial role in neuromorphic computing and machine learning. These devices are favored for their high integration density, low power consumption, rapid switching speed, and significant on/off ratio. Despite advancements in various materials, achieving adequate electrical performance—characterized by threshold switching (TS) behavior, spontaneous reset, and low off‐state resistance—remains challenging due to the limitations in conductance filament control within the nanoscale resistive switching layer. In this study, we introduce an efficient method to control the ZrO 2 crystallinity for tunable volatility memristor by establishing the filament paths through a simple thermal treatment process in a single oxide layer. The effect of ZrO 2 crystallinity to create localized filament paths for enhancing Ag migration and improving TS behavior is also investigated. In contrast to its amorphous counterpart, crystallized ZrO 2 volatile memristor, treated by rapid thermal annealing, demonstrates a steep switching slope (0.21 mV dec –1 ), a high resistance state (25 GΩ), and forming‐free characteristics. The superior volatile performance is attributed to localized conductive filaments along low‐energy pathways, such as dislocations and grain boundaries. By coupling with enhanced volatile switching behavior, we believe that the volatility is finely tuned to function as short‐term memory for reservoir computing, making it particularly well‐suited for tasks such as audio and image recognition. image",10.1002/inf2.12635,,,,,,,,
RC-3336,,Finite‐Block Polynomial and Volterra Structure in Reservoir Computing,"ABSTRACT Reservoir computing is analyzed through the algebraic structure generated by finite‐width reservoirs on fixed input blocks. For linear and quadratic logistic activations, the induced input‐to‐state map admits an exact finite Volterra representation, yielding an explicit characterization of the associated hypothesis class. It is shown that reservoir width imposes rank constraints on the admissible Volterra kernels, which in the quadratic case reduce to classical matrix‐rank limitations and lead to approximation estimates in terms of spectral decay and best low‐rank approximation error. A Volterra‐Barron complexity measure is introduced for finite‐block polynomial functionals, and corresponding approximation rates are established. Numerical experiments successfully validate the theoretical predictions.",10.1002/nla.70104,,,,,,,,
RC-5348,,"Forecasting Measles Incidence in the Philippines: A Comparative Analysis of SARIMA, Holt-Winters, ESN, and NNAR Models","This study examines the incidence of measles in the Philippines from January 1, 2017, to October 28, 2023, employing four distinct forecasting models: Seasonal Autoregressive Integrated Moving Average (SARIMA), Holt-Winters Exponential Smoothing, Echo State Network (ESN), and Neural Network Autoregressive (NNAR). The primary objective is to determine the most effective method for predicting short-term measles incidence trends. Using officially released data on notifiable diseases, the study addresses challenges such as missing data through Predictive Mean Matching (PMM) and evaluates the performances of the models based on root mean squared error (RMSE), mean absolute percentage error (MAPE), and mean absolute error (MAE). The results indicate that the NNAR model outperforms the others, demonstrating its superior ability to handle complex, non-linear data patterns, crucial for epidemiological forecasting. The study highlights the impact of factors like vaccine hesitancy and healthcare accessibility on measles incidence and underscores the importance of leveraging advanced forecasting models in public health decision-making. The findings emphasize the need for targeted vaccination campaigns, resource allocation, and public health communication strategies based on predictive modeling insights. This research contributes to the field of epidemiological forecasting, offering policy recommendations for improving public health response and preparedness in the face of infectious disease outbreaks.",10.31893/multiscience.2025356,,,,,,,,
RC-0972,,Performance optimization research of reservoir computing system based on an optical feedback semiconductor laser under electrical information injection,"for accomplishing nonlinear channel equalization tests under a signal-to-noise ratio (SNR) of 32 dB. Moreover, under a given RC performance level, the information processing rate of the RC can be improved by increasing the SL current.",10.1364/oe.27.019931,,,,,,,,
RC-6287,,KNOWM memristors in a bridge synapse delay-based reservoir computing system for detection of epileptic seizures,"Nanodevices that show the potential for non-linear transformation of electrical signals and various forms of memory can be successfully used in new computational paradigms, such as neuromorphic or reservoir computing (RC). Dedicated hardware implementations based on functional neuromorphic structures significantly reduce energy consumption and/or increase computational capabilities of a given artificial neural network system. Concepts of RC, which as a flexible computational paradigm can be highly inclusive, are often used as a model to describe computations performed in materia. With mostly fixed internal structure, solid-state devices, especially memristors, are studied as computational substrates in various RC systems. In this work, we present single-node Echo State Machine (SNESM) RC system based on bridge synapse as a computational substrate (consisting of 4 memristors and a differential amplifier) used for epileptic seizure detection. KNOWM memristors were posed as ideal candidates because of their easy prototyping and reliability of operation. In this account, we present an application of commercially available KNOWM memristors in various neuromorphic applications, from simple analysis of switching and internal dynamics (elucidated form noise spectroscopy and total harmonic distortion analysis) to the classification and recognition of complex time series: epilepsy seizure recognition using a wrist-worn triaxial accelerometer.",10.1080/17445760.2022.2088751,,,,,,,,
RC-3525,,Improving the prediction stability of reservoir computing by means of dynamic structural bias,"Optimization of computational efficiency and improving predictive stability remain key challenges in reservoir computing (RC) research. Building on the principle of Poincaré recurrence theorem, we propose a dynamic structural bias RC algorithm, significantly improving the prediction stability. Our framework refines the conventional training process by introducing a two-step mechanism. First, a reference state library is constructed from the training time series. Second, this library is used in conjunction with a dot-product similarity calculation to generate a structural, dynamic bias term. This dynamic bias introduces high-fidelity historical information into the reservoir's state update equation. The benefit is that the bias in the prediction phase acts as a dynamic constraint guiding the reservoir evolution toward the true known trajectory. We prove that our algorithm enhances the model's ability to maintain generalized synchronization with the target system's attractor in the autonomous prediction phase. Consequently, our method achieves two key advantages: predictive stability is dramatically improved, and the model's sensitivity to network hyperparameters is reduced. We demonstrate the effectiveness of our method through the reconstruction and long-term prediction of various low-dimensional chaotic systems, showing a substantially increased prediction horizon and a more stable, faithful reproduction of the attractor's structural geometry.",10.1103/5nbr-bqxb,,,,,,,,
RC-6395,,Dynamical system analysis of a data-driven model constructed by reservoir computing,"This study evaluates data-driven models from a dynamical system perspective, such as unstable fixed points, periodic orbits, chaotic saddle, Lyapunov exponents, manifold structures, and statistical values. We find that these dynamical characteristics can be reconstructed much more precisely by a data-driven model than by computing directly from training data. With this idea, we predict the laminar lasting time distribution of a particular macroscopic variable of chaotic fluid flow, which cannot be calculated from a direct numerical simulation of the Navier-Stokes equation because of its high computational cost.",10.1103/physreve.104.044215,,,,,,,,
RC-4553,,Modular DFR: Digital Delayed Feedback Reservoir Model for Enhancing Design Flexibility,"A delayed feedback reservoir (DFR) is a type of reservoir computing system well-suited for hardware implementations owing to its simple structure. Most existing DFR implementations use analog circuits that require both digital-to-analog and analog-to-digital converters for interfacing. However, digital DFRs emulate analog nonlinear components in the digital domain, resulting in a lack of design flexibility and higher power consumption. In this paper, we propose a novel modular DFR model that is suitable for fully digital implementations. The proposed model reduces the number of hyperparameters and allows flexibility in the selection of the nonlinear function, which improves the accuracy while reducing the power consumption. We further present two DFR realizations with different nonlinear functions, achieving 10× power reduction and 5.3× throughput improvement while maintaining equal or better accuracy.",10.1145/3609105,,,,,,,,
RC-0387,,High-order fuzzy cognitive maps and randomized networks for time series and nonlinear dynamical systems,"Os mapas cognitivos nebulosos (FCM, do inglês Fuzzy Cognitive Maps) surgiram como métodos interpretáveis das Séries Temporais Nebulosas (FTS, do inglês Fuzzy Time Series) para uma variedade de aplicações no campo de previsão. A construção da estrutura dos FCMs e a extração das conexões ponderadas entre os conceitos compõem a contribuição central das abordagens baseadas em FCMs na literatura. Apesar do sucesso das metodologias propostas, ainda existem algumas lacunas e limitações nesse domínio. Para cobrir alguns desses desafios, esta tese apresenta novas técnicas de previsão baseadas em FCMs para prever séries temporais univariadas e multivariadas, focando no design da nova arquitetura e na aceleração da fase de treinamento. Assim, a principal contribuição desta tese é introduzir novas técnicas de previsão pela fusão de FTS e FCMs para gerar FCMs aleatórios de alta ordem (R-HFCM, do inglês Randomized High-Order FCM) como modelos de computação de reservatório pela primeira vez na literatura. O R-HFCM é um tipo de rede de estado de eco (ESN, do inglês Echo State Network ), onde a camada do reservatório consiste em um grupo de sub-reservatórios de tal forma que os pesos dentro de cada sub-reservatório são escolhidos aleatoriamente de acordo com a inicialização de pesos do ESN. Os experimentos computacionais demonstram que o R-HFCM supera em termos de precisão e velocidade de treinamento quando comparado aos FCMs tradicionais treinados por algoritmos evolutivos como o algoritmo genético (GA, do inglês Genethic Algorithm). Para preencher a ausência de modelos de Entrada Múltipla e Saída Múltipla (MIMO, do inglês Multiple-Input Multiple-Output), extensões do método R-HFCM univariado foram apresentadas para lidar com a previsão de séries temporais de baixa e alta dimensionalidade. Vale ressaltar que, em ambos os métodos MIMO, apenas a camada de saída é treinável utilizando o método dos mínimos quadrados por ser de baixo custo computacional. Os métodos propostos obtiveram resultados promissores e competitivos em comparação com uma variedade de métodos de aprendizado profundo e aprendizado de máquina em termos de precisão e parcimônia.",,,,,,,,,
RC-4945,,Universal Set of Observables for Forecasting Physical Systems Through Causal Embedding,"We demonstrate when and how an entire left-infinite orbit of an underlying dynamical system or observations from such left-infinite orbits can be uniquely represented by a pair of elements in a different space, a phenomenon which we call \textit{causal embedding}. The collection of such pairs is derived from a driven dynamical system and is used to learn a function which together with the driven system would: (i). determine a system that is topologically conjugate to the underlying system (ii). enable forecasting the underlying system's dynamics since the conjugacy is computable and universal, i.e., it does not depend on the underlying system (iii). guarantee an attractor containing the image of the causally embedded object even if there is an error made in learning the function. By accomplishing these we herald a new forecasting scheme that beats the existing reservoir computing schemes that often lead to poor long-term consistency as there is no guarantee of the existence of a learnable function, and overcomes the challenges of stability in Takens delay embedding. We illustrate accurate modeling of underlying systems where previously known techniques have failed.",10.1109/tnnls.2025.3632965,,,,,,,,
RC-0175,,Tutorial on Sustainable Deep Learning for Time-series: Reservoir Computing,International audience,,,,,,,,,
RC-4437,,Phase Transition Adaptation,"Artificial Recurrent Neural Networks are a powerful information processing abstraction, and Reservoir Computing provides an efficient strategy to build robust implementations by projecting external inputs into high dimensional dynamical system trajectories. In this paper, we propose an extension of the original approach, a local unsupervised learning mechanism we call Phase Transition Adaptation, designed to drive the system dynamics towards the 'edge of stability'. Here, the complex behavior exhibited by the system elicits an enhancement in its overall computational capacity. We show experimentally that our approach consistently achieves its purpose over several datasets.",10.1109/ijcnn52387.2021.9534006,,,,,,,,
RC-6257,,Optimizing quantum noise-induced reservoir computing for nonlinear and chaotic time series prediction,"Quantum reservoir computing is strongly emerging for sequential and time series data prediction in quantum machine learning. We make advancements to the quantum noise-induced reservoir, in which reservoir noise is used as a resource to generate expressive, nonlinear signals that are efficiently learned with a single linear output layer. We address the need for quantum reservoir tuning with a novel and generally applicable approach to quantum circuit parameterization, in which tunable noise models are programmed to the quantum reservoir circuit to be fully controlled for effective optimization. Our systematic approach also involves reductions in quantum reservoir circuits in the number of qubits and entanglement scheme complexity. We show that with only a single noise model and small memory capacities, excellent simulation results were obtained on nonlinear benchmarks that include the Mackey-Glass system for 100 steps ahead in the challenging chaotic regime.",10.1038/s41598-023-45015-4,,,,,,,,
RC-3326,,Time-multiplexed Reservoir Computing with Semiconductor Laser Systems,"This chapter will focus on a specific variant of reservoir computing (RC) which is based on time-multiplexing the input and readout layers. It is often referred to as delay-based or time-delay RC, as it can easily be realized with a single physical systems subject to self-feedback and does not require a network of numerous coupled nonlinear units. In this time-multiplexed scheme, the nonlinear transformation and mixing of the input data is realized via the internal dynamics of the nonlinear physical system. Strongly nonlinear optical elements, for example semiconductor lasers subject to optical feedback, are promising candidates and offer fast data processing rates combined with the possibility of on-chip hardware realization. The time-delay of the feedback loop has a twofold purpose; it induces a complex response and provides short term memory. While the intrinsic dynamical nonlinearity can be exploited for the computing, it can also lead to intrinsic instabilities that prevent stable computing operation. We will discuss this in detail and elaborate how the bifurcation structure, i.e. the phase diagram in parameter space, can help to find good operation conditions for delay-based RC. Please also see the chapter by Stephan Wong, Doris E. Reiter and Sang Soon Oh for a machine learning based method to determine phase diagrams. We will also focus on the fact that the specific memory requirements for a given reservoir computing task, for example the prediction of a complex time series, are not unique and vary a lot between tasks, leading to different prerequisites for the dynamical system in use.",10.1007/978-3-032-04129-6_18,,,,,,,,
RC-1991,,Richness of Node Embeddings in Graph Echo State Networks,"Graph Echo State Networks (GESN) have recently proved effective in node classification tasks, showing particularly able to address the issue of heterophily.While previous literature has analyzed the design of reservoirs for sequence ESN and GESN for graph-level tasks, the factors that contribute to rich node embeddings are so far unexplored.In this paper we analyze the impact of different reservoir designs on node classification accuracy and on the quality of node embeddings computed by GESN using tools from the areas of information theory and numerical analysis.In particular, we propose an entropy measure for quantifying information in node embeddings.",10.14428/esann/2023.es2023-51,,,,,,,,
RC-2584,,Prediction of unobserved bifurcation by unsupervised extraction of slowly time-varying system parameter dynamics from time series using reservoir computing,"Introduction: Nonlinear and non-stationary processes are prevalent in various natural and physical phenomena, where system dynamics can change qualitatively due to bifurcation phenomena. Machine learning methods have advanced our ability to learn and predict such systems from observed time series data. However, predicting the behavior of systems with temporal parameter variations without knowledge of true parameter values remains a significant challenge. Methods: This study uses reservoir computing framework to address this problem by unsupervised extraction of slowly varying system parameters from time series data. We propose a model architecture consisting of a slow reservoir with long timescale internal dynamics and a fast reservoir with short timescale dynamics. The slow reservoir extracts the temporal variation of system parameters, which are then used to predict unknown bifurcations in the fast dynamics. Results: Through experiments on chaotic dynamical systems, our proposed model successfully extracted slowly varying system parameters and predicted bifurcations that were not included in the training data. The model demonstrated robust predictive performance, showing that the reservoir computing framework can handle nonlinear, non-stationary systems without prior knowledge of the system's true parameters. Discussion: Our approach shows potential for applications in fields such as neuroscience, material science, and weather prediction, where slow dynamics influencing qualitative changes are often unobservable.",10.3389/frai.2024.1451926,,,,,,,,
RC-1590,,Signal–noise separation using unsupervised reservoir computing,"Removing noise from a signal without knowing the characteristics of the noise is a challenging task. This paper introduces a signal-noise separation method based on time-series prediction. We use Reservoir Computing (RC) to extract the maximum portion of ""predictable information"" from a given signal. Reproducing the deterministic component of the signal using RC, we estimate the noise distribution from the difference between the original signal and the reconstructed one. The method is based on a machine-learning approach and requires no prior knowledge of either the deterministic signal or the noise distribution. It provides a way to identify additivity/multiplicativity of noise and to estimate the signal-to-noise ratio (SNR) indirectly. The method works successfully for combinations of various signals and noise, including the chaotic signal and the highly oscillating sinusoidal signal, which are corrupted by non-Gaussian additive/multiplicative noise. The separation performances are robust and notably outstanding for signals with strong noise, even for those with negative SNR.",10.1063/5.0278540,,,,,,,,
RC-1110,,Lipreading Using Liquid State Machine with STDP-Tuning,"Lipreading refers to the task of decoding the text content of a speaker based on visual information about the movement of the speaker’s lips. With the development of deep learning in recent years, lipreading has attracted extensive research. However, the deep learning method requires a lot of computing resources, which is not conducive to the migration of the system to edge devices. Inspired by the work of Spiking Neural Networks (SNNs) in recognizing human actions and gestures, we propose a lipreading system based on SNNs. Specifically, we construct the front-end feature extractor of the system using Liquid State Machine (LSM). On the other hand, a heuristic algorithm is used to select appropriate parameters for the classifier in the backend. On small-scale lipreading datasets, our recognition accuracy achieves good results. We claim that our network performs better in terms of accuracy and ratio of learned parameters compared to other networks, and has superior advantages in terms of network complexity and training cost. On the AVLetters dataset, our model achieves a 5% improvement in accuracy over traditional methods and a 90% reduction in parameters over the state-of-the-art.",10.3390/app122010484,,,,,,,,
RC-2290,,Active power filter with enhanced echo state network in radar power supply system,"Abstract There have been concerns raised on load non‐linearity as more and more load types are being introduced into the radar power supply system. The non‐linear load produces harmonic current while it seriously threatens the normal and safe operation environment of other system equipment. It can be difficult to design shunt active power filter (APF) to eliminate the harmonic effect while achieving stability and reliability. This paper designs a hybrid optimization shunt active power filter, which adopts enhanced echo state network (ESN) to predict harmonics and reduce the delay problem in traditional control. The prediction performance of enhanced ESN is verified by simulation. The modelling and simulation of the hybrid optimization shunt APF are completed in Simulink, and the parameters of APF are reset according to the radar power supply system. Furthermore, a prototype based on DSP TMS320F28335 was developed to test whether the theory is feasible and accurate. The experimental results demonstrate that the APF with harmonic prediction has improved steady‐state response performance and rapid dynamic response performance.",10.1049/pel2.12550,,,,,,,,
