record_id,no_abstract,title,abstract,family,subclass,hybrid,reason
RC-6308,,Estimating the master stability function from the time series of one oscillator via reservoir computing,"The master stability function (MSF) yields the stability of the globally synchronized state of a network of identical oscillators in terms of the eigenvalues of the adjacency matrix. In order to compute the MSF, one must have an accurate model of an uncoupled oscillator, but often such a model does not exist. We present a reservoir computing technique for estimating the MSF given only the time series of a single, uncoupled oscillator. We demonstrate the generality of our technique by considering a variety of coupling configurations of networks consisting of Lorenz oscillators or H{é}non maps.",unassignable,,,Only 'a reservoir computing technique' is stated; no state-map information in title or abstract (standard recurrent network vs NG-RC-style feature construction undeterminable) -> unassignable.
RC-1228,,A Reservoir Computing Model of Reward-Modulated Motor Learning and Automaticity,"Reservoir computing is a biologically inspired class of learning algorithms in which the intrinsic dynamics of a recurrent neural network are mined to produce target time series. Most existing reservoir computing algorithms rely on fully supervised learning rules, which require access to an exact copy of the target response, greatly reducing the utility of the system. Reinforcement learning rules have been developed for reservoir computing, but we find that they fail to converge on complex motor tasks. Current theories of biological motor learning pose that early learning is controlled by dopamine-modulated plasticity in the basal ganglia that trains parallel cortical pathways through unsupervised plasticity as a motor task becomes well learned. We developed a novel learning algorithm for reservoir computing that models the interaction between reinforcement and unsupervised learning observed in experiments. This novel learning algorithm converges on simulated motor tasks on which previous reservoir computing algorithms fail and reproduces experimental findings that relate Parkinson's disease and its treatments to motor learning. Hence, incorporating biological theories of motor learning improves the effectiveness and biological relevance of reservoir computing models.",F1,,,"'The intrinsic dynamics of a recurrent neural network are mined to produce target time series' -> step 3, F1. Node type not stated (rate vs spiking; the basal-ganglia motor-learning context admits either) -> subclass blank."
RC-3182,,Mobility-Aware Seamless Handover With MPTCP in Software-Defined HetNets,"In this paper, the problem of vertical handover in software-defined network (SDN) based heterogeneous networks (HetNets) is studied. In the studied model, HetNets are required to offer diverse services for mobile users. Using an SDN controller, HetNets have the capability of managing users' access and mobility issues but still have the problems of ping-pong effect and service interruption during vertical handover. To solve these problems, a mobility-aware seamless handover method based on multipath transmission control protocol (MPTCP) is proposed. The proposed handover method is executed in the controller of the software-defined HetNets (SDHetNets) and consists of three steps: location prediction, network selection, and handover execution. In particular, the method first predicts the user's location in the next moment with an echo state network (ESN). Given the predicted location, the SDHetNet controller can determine the candidate network set for the handover to pre-allocate network wireless resources. Second, the target network is selected through fuzzy analytic hierarchical process (FAHP) algorithm, jointly considering user preferences, service requirements, network attributes, and user mobility patterns. Then, seamless handover is realized through the proposed MPTCP-based handover mechanism. Simulations using real-world user trajectory data from Korea Advanced Institute of Science &amp; Technology show that the proposed method can reduce the handover times by 10.85% to 29.12% compared with traditional methods. The proposed method also maintains at least one MPTCP subflow connected during the handover process and achieves a seamless handover.",F1,F1.1,,"'The method first predicts the user's location in the next moment with an echo state network (ESN)' -> the RC component is a named ESN -> step 3, default ESN, F1.1."
RC-3293,,Network Structure and Reservoir Computing in Cultured Neuronal Networks,脳は多数の神経細胞が接続し形成された複雑ネットワークである．そのネットワーク構造はスモールワールド性やモジュール性といった特徴を有することが，近年のグラフ理論的な解析により明らかにされてきた．神経細胞は，この特徴的なネットワーク構造上で活動を伝搬し，ダイナミクスを生成するが，これらのネットワーク特性がどのように神経ダイナミクスを通じて実際の情報処理に寄与するのだろうか？ リザバーコンピューティングは，リカレントニューラルネットワークを基盤として発展した機械学習モデルであり，さまざまな構造を有するネットワークのダイナミクスを情報処理に応用する技術としても使用できる．本稿では，リザバーコンピューティングに関するこれまでの理論研究を概観したうえで，著者らが生物の神経細胞を用いて行った，ネットワーク構造とパターン分類性能の関係を調べた研究を解説する．これらの研究を通じて，神経回路網の配線構造が，脳内での情報処理にどのように寄与しているのか，特に，神経細胞の生物物理的特性との協調について議論する．,F4,,,"Japanese review/commentary centred on the authors' own cultured-neuron RC experiments (studies using biological neurons relating network structure to pattern-classification performance). Self-organized biological network, coupling not designed or individually addressable -> step 4, F4. No subclass names unengineered biological networks (cf. cultured-network worked example) -> subclass blank, gap noted. Review status flagged as a scope question, but the discussed system class is determinate."
RC-5771,,Modelling spatiotemporal turbulent dynamics with the convolutional autoencoder echo state network,"The spatiotemporal dynamics of turbulent flows is chaotic and difficult to predict. This makes the design of accurate and stable reduced-order models challenging. The overarching objective of this paper is to propose a nonlinear decomposition of the turbulent state for a reduced-order representation of the dynamics. We divide the turbulent flow into a spatial problem and a temporal problem. First, we compute the latent space, which is the manifold onto which the turbulent dynamics live (i.e., it is a numerical approximation of the turbulent attractor). The latent space is found by a series of nonlinear filtering operations, which are performed by a convolutional autoencoder (CAE). The CAE provides the decomposition in space. Second, we predict the time evolution of the turbulent state in the latent space, which is performed by an echo state network (ESN). The ESN provides the decomposition in time. Third, by assembling the CAE and the ESN, we obtain an autonomous dynamical system: the convolutional autoncoder echo state network (CAE-ESN). This is the reduced-order model of the turbulent flow. We test the CAE-ESN on a two-dimensional flow. We show that, after training, the CAE-ESN (i) finds a latent-space representation of the turbulent flow that has less than 1% of the degrees of freedom than the physical space; (ii) time-accurately and statistically predicts the flow in both quasiperiodic and turbulent regimes; (iii) is robust for different flow regimes (Reynolds numbers); and (iv) takes less than 1% of computational time to predict the turbulent flow than solving the governing equations. This work opens up new possibilities for nonlinear decompositions and reduced-order modelling of turbulent flows from data.",F1,F1.1,,"'We predict the time evolution of the turbulent state in the latent space, which is performed by an echo state network (ESN)' -> step 3, default ESN, F1.1. The convolutional autoencoder is a trained spatial encoder (front-end), not a second state-generation mechanism -> no hybrid."
RC-2762,,Neuromorphic computation with a single magnetic domain wall,"Abstract Machine learning techniques are commonly used to model complex relationships but implementations on digital hardware are relatively inefficient due to poor matching between conventional computer architectures and the structures of the algorithms they are required to simulate. Neuromorphic devices, and in particular reservoir computing architectures, utilize the inherent properties of physical systems to implement machine learning algorithms and so have the potential to be much more efficient. In this work, we demonstrate that the dynamics of individual domain walls in magnetic nanowires are suitable for implementing the reservoir computing paradigm in hardware. We modelled the dynamics of a domain wall placed between two anti-notches in a nickel nanowire using both a 1d collective coordinates model and micromagnetic simulations. When driven by an oscillating magnetic field, the domain exhibits non-linear dynamics within the potential well created by the anti-notches that are analogous to those of the Duffing oscillator. We exploit the domain wall dynamics for reservoir computing by modulating the amplitude of the applied magnetic field to inject time-multiplexed input signals into the reservoir, and show how this allows us to perform machine learning tasks including: the classification of (1) sine and square waves; (2) spoken digits and (3) non-temporal 2D toy data and hand written digits. Our work lays the foundation for the creation of nanoscale neuromorphic devices in which individual magnetic domain walls are used to perform complex data analysis tasks.",F2,F2.1,,"Single magnetic domain wall; 'modulating the amplitude of the applied magnetic field to inject time-multiplexed input signals into the reservoir' -> one node sampled across the input interval -> step 2, F2.1. Memory from Duffing-like relaxation in a potential well rather than loop delay: mechanism-clause tension recorded (Torrejon worked-example precedent). Simulated (collective-coordinates + micromagnetics)."
RC-1766,,A Moth–Flame Optimized Echo State Network and Triplet Feature Extractor for Epilepsy Electro-Encephalography Signals,"The analysis of epilepsy electro-encephalography (EEG) signals is of great significance for the diagnosis of epilepsy, which is one of the common neurological diseases of all age groups. With the developments of machine learning, many data-driven models have achieved great performance in EEG signals classification. However, it is difficult to select appropriate hyperparameters for the models to file a specific task. In this paper, an evolutionary algorithm enhanced model is proposed, which optimizes the fixed weights of the reservoir layer of the echo state network (ESN) according to the specific task. As evaluating a feature extractor relies heavily on the classifiers, a new feature distribution evaluation function (FDEF) using the label information of EEG signals is defined as the fitness function, which is an objective way to evaluate the performance of a feature extractor that not only focuses on the degree of dispersion, but also considers the relation amongst triplets. The performance of the proposed method is verified on the Bonn University dataset with an accuracy of 98.16% and on the CHB-MIT dataset with the highest sensitivity of 96.14%. The proposed method outperforms the previous EEG methods, as it can automatically optimize the hyperparameters of ESN to adjust the structure and initial parameters for a specific classification task. Furthermore, the optimization direction by using FDEF as the fitness of MFO no longer relies on the performance of the classifier but on the relative separability amongst classes.",F1,F1.1,,"'Echo state network (ESN)' named; Moth-Flame optimization 'optimizes the fixed weights of the reservoir layer' -> step 3, default ESN, F1.1. Evolutionary reservoir optimization is an adaptation facet (D3 evolved), not a family criterion."
RC-2486,,Mycelium as a computational medium: a framework for growth modeling towards reservoir computing,"Abstract Mycelium, the intricate vegetative network of fungi, has emerged as a promising candidate within the realm of engineered living materials (ELMs). While its intriguing structural and electrical properties highlight its potential, mycelium growth is highly sensitive to environmental conditions. To bridge this gap, a robust framework was developed to both model mycelium growth and explore its computational capabilities. This framework uses a cellular automata (CA) approach, enhanced with reaction-diffusion (RD) processes, to simulate mycelium growth under diverse environmental conditions. This configuration, combined with tunable parameters, enables the identification and validation of optimal growth patterns, supported by an algorithm designed to extract key features of hyphae–the fundamental building blocks of the mycelial network. Subsequently, the small-world properties of the modeled mycelium networks were investigated, revealing high clustering coefficients and short path lengths, characteristics that make them well-suited for reservoir computing (RC). To demonstrate their computational capabilities, mycelium-inspired RC architectures were evaluated on the MNIST dataset classification task, achieving an accuracy of up to 97.09%, highlighting the effectiveness of biologically inspired models. As a result, this framework establishes a comprehensive test-bench for mycelium modeling, growth, and computational exploration, paving the way for innovative applications in bio-inspired computing.",F1,F1.4,,"Reservoir = network with modeled-mycelium topology: 'the small-world properties of the modeled mycelium networks were investigated... characteristics that make them well-suited for reservoir computing'; topology is the object of study -> step 3, F1.4 (small-world). The cellular-automata + reaction-diffusion component is the growth model, not the reservoir state map; the alternative F4.3 reading was considered and rejected on that ground."
RC-3677,,Dynamic Memristor-based Reservoir Computing for High-Efficiency Spatiotemporal Signal Processing,"Abstract Reservoir computing (RC) is a highly efficient network for processing spatiotemporal signals due to its low training cost compared to standard recurrent neural networks. The design of different reservoir states plays a very important role in the hardware implementation of RC system. Recent studies have used the device-to-device variation to generate different reservoir states; however, this method is not well controllable and reproducible. To solve this problem, we report a dynamic memristor-based RC system. By applying a controllable mask process, we reveal that even a single dynamic memristor can generate rich reservoir states and realize the complete reservoir function. We further build a parallel RC system that can efficiently handle spatiotemporal tasks including spoken-digit and handwritten-digit recognitions, in which high classification accuracies of 99.6% and 97.6% have been achieved, respectively. The performance of dynamic memristor-based RC system is almost equivalent to the software-based one. Besides, our RC system does not require additional read operations, which can make full use of the device nonlinearity and further improve the system efficiency. Our work could pave the road towards high-efficiency memristor-based RC systems to handle more complex spatiotemporal tasks in the future.",F2,F2.1,,"'By applying a controllable mask process, we reveal that even a single dynamic memristor can generate rich reservoir states' -> mask/virtual-node construction on one (or few parallel) nodes -> step 2 fires before addressability (step 3), F2.1. Memory from device relaxation rather than loop delay (tension noted); 'parallel RC system' = replicated masked devices, not a coupled array."
RC-3987,,Multi-Objective Multi-Learner Robot Trajectory Prediction Method for IoT Mobile Robot Systems,"Robot trajectory prediction is an essential part of building digital twin systems and ensuring the high-performance navigation of IoT mobile robots. In the study, a novel two-stage multi-objective multi-learner model is proposed for robot trajectory prediction. Five machine learning models are adopted as base learners, including autoregressive moving average, multi-layer perceptron, Elman neural network, deep echo state network, and long short-term memory. A non-dominated sorting genetic algorithm III is applied to automatically combine these base learners, generating an accurate and robust ensemble model. The proposed model is tested on several actual robot trajectory datasets and evaluated by several metrics. Moreover, different existing optimization algorithms are also applied to compare with the proposed model. The results demonstrate that the proposed model can achieve satisfactory accuracy and robustness for different datasets. It is suitable for the accurate prediction of robot trajectory.",F1,F1.3,,"Ensemble of five base learners includes a named 'deep echo state network' -> the RC component is determinate: hierarchical multi-stage reservoir, F1.3. The non-RC ensemble members (ARMA, MLP, Elman, LSTM) sit outside the family axis; classifying by the RC component is a documented scope judgement."
RC-4763,1,Spiking Reservoir Neural Network for Time Series Classification,,F1,F1.2,,"Title-only record (no_abstract=1). 'Spiking Reservoir Neural Network' names the mechanism, not a material: a network reservoir of spiking units -> step 3, F1.2."
RC-2758,,Reservoir computing: Enhanced forecasting of ARIMA time series using multi echo state networks with time series preprocessing techniques,"Accurate forecasting of complex temporal data is essential in various fields, such as finance, weather prediction, and market analysis. Traditional ARIMA models, while effective, might struggle with noisy data and low autocorrelation. This thesis investigates the use of Reservoir Computing, particularly Echo State Networks (ESN), for forecasting synthetically generated ARIMA time series. More specifically we use a particular model of ESN, Multi Echo State Networks (MultiESN), which allows multi-layered architectures of the reservoir (hidden) cells.By generating ARIMA time series with specific parameters, we create a challenging forecasting scenario characterized by high level of noise and small autocorrelation. The research focuses on optimizing MultiESN architecture, including layers, number of nodes, spectral radius (ρ), and leaking rate (α). Additionally, advanced smoothing and denoising techniques are applied to enhance trend detection and reduce noise. Our findings demonstrate the potential of MultiESN in improving forecasting accuracy for noisy ARIMA time series. This study contributes to the integration of statistical and machine learning methods in time series forecasting, highlighting the effectiveness of MultiESN and the impact of various optimization strategies and denoising techniques.",F1,F1.3,,"'Multi Echo State Networks (MultiESN), which allows multi-layered architectures of the reservoir (hidden) cells' -> depth in the state map -> step 3, F1.3."
RC-3831,,Excited State Opto‐Ionic Reservoir Computing in Hybrid Perovskite Electrochemically‐Gated Luminescent Cells,"ABSTRACT We introduce a neuromorphic reservoir computing concept that leverages the complex interplay between electronic and ionic states in lead halide perovskites to run algorithms by harnessing opto‐ionic modulation of photoexcited state populations. The system leverages the heterogeneous material microstructure and ultrafast spatio‐temporal electronic state dynamics in perovskite microcrystals to generate a high‐dimensional internal state space reservoir within the charge carrier populations. This reservoir exhibits complex, nonlinear, and adaptive behavior. The computation output is read directly from the photogenerated luminescence using diffraction‐limited resolution with 10 6 nodes per cm 2 and energy of 800 pJ per node‐operation. The system performs robustly in distinguishing 4‐bit pulse sequences with a mean accuracy of 87%, showcasing its potential for neuromorphic computing tasks. Our work reveals excited‐state dynamics as a platform for exploring nanoscale computing with photoactive materials, also at high speeds using ultrafast photophysics, with large potential for the development of next‐generation neuromorphic technologies.",F4,,,"State = 'high-dimensional internal state space reservoir within the charge carrier populations' of heterogeneous perovskite microcrystals; read optically 'using diffraction-limited resolution with 10^6 nodes per cm^2' -> spatially probed, undesigned material medium -> step 4, F4. No subclass names opto-ionic/excited-state media (F4.1 lists conductive meshes) -> subclass blank, gap noted."
RC-5663,,The Recursive Nature of Physics a Solution to N-Body Problems updated 5 body accuracy,"# Multi-Layer Fractal Correction Engine for Trajectory Prediction in Chaotic Multi-Body Dynamical Systems **Authors:** Adam L McEvoy **Date:** April 2026 **Keywords:** chaotic dynamics, fractal correction, N-body problem, trajectory prediction, Takens embedding, Lyapunov exponents, symplectic integration, delay-coordinate embedding, multi-body systems, negative space, forensic prediction, phase-space curvature --- ## Abstract I present a multi-layer Fractal Correction Engine (FCE) for extending trajectory prediction horizons in chaotic multi-body dynamical systems. The system combines pure Newtonian physics simulation with a domain-adaptive prediction architecture that operates entirely in the prediction layer — the equations of motion remain unmodified. For pendulum systems, a 7-layer FCE pipeline exploits per-arm orbital decomposition, energy sub-correction, cascade snap detection, arm interaction mapping, golden-ratio spline reconciliation, backward prediction blending, and energy-constrained projection. A 13-class forensic enhancement pipeline — incorporating fold-angle dynamics, energy-flow tracking, configuration-space negative-space constraints, snap genealogy analysis, coupling mode classification, joint power flow monitoring, and arm dynamics intelligence — provides an additional 13–34% error reduction for pendulums. For celestial N-body systems, Takens delay-coordinate embedding with k-nearest-neighbor local linear models is enhanced by rolling Lyapunov-scaled verification that adaptively chunks predictions based on the system's intrinsic predictability timescale. Evaluated across 10 distinct dynamical systems spanning double/triple pendulums, three-body choreographies, hierarchical stellar triples, binary star systems, the Sitnikov problem, and five-body planetary configurations, the framework achieves a mean normalized prediction error of $0.094$ over 300-second simulations with 3,000 data points per system and 297 rolling reforecasts. The best-performing system (Hierarchical Triple) achieves $8 \times 10^{-6}$ normalized error, while all eight celestial systems achieve errors below $0.022$. Energy conservation is maintained at $\sim 10^{-9}$ relative error for pendulums and $10^{-10}$ to $10^{-15}$ for celestial systems. The complete framework processes all 10 systems in under 30 minutes on a single CPU core, requiring no GPUs, no training data, and no pre-trained models. --- ## 1. Introduction ### 1.1 The Predictability Problem in Chaotic Systems Chaotic dynamical systems are characterized by sensitive dependence on initial conditions (SDIC): two trajectories that begin arbitrarily close in phase space diverge exponentially at a rate governed by the largest Lyapunov exponent $\lambda_{\max}$. The Lyapunov time $T_L = 1/\lambda_{\max}$ defines the fundamental predictability horizon — beyond a few multiples of $T_L$, deterministic prediction becomes effectively impossible without additional structural information about the attractor. This limitation is severe in practice. For the double pendulum, $\lambda_{\max} \approx 0.16$–$0.22$ s$^{-1}$ (measured via Rosenstein's method), giving $T_L \approx 4.5$–$6.3$ s. A 300-second simulation spans $\sim 50$–$67$ Lyapunov times. For planetary systems, Lyapunov times range from $\sim 5$ Myr (inner Solar System) to $\sim 50$ Myr (outer planets), making predictions beyond $\sim 100$ Myr fundamentally uncertain. The central question of this work is: **can geometric structure in phase space be exploited to extend prediction horizons beyond what pure numerical integration or standard data-driven methods achieve?** ### 1.2 Existing Approaches and Their Limitations Classical approaches to chaotic prediction fall into several categories: **Numerical integration with error control.** High-order symplectic integrators (Wisdom & Holman, 1991; Chambers, 1999) and adaptive Runge-Kutta methods can track trajectories accurately for moderate time horizons, but accumulated numerical error eventually exceeds the physical divergence rate. The integrator preserves the trajectory but does not *predict* beyond the integrated time. **Machine learning methods.** Reservoir computing (Pathak et al., 2018), neural ODEs (Chen et al., 2018), and Hamiltonian neural networks (Greydanus et al., 2019) can learn dynamics from data, but require large training datasets, struggle with generalization across dynamical regimes, and lack physical conservation guarantees. **Data-driven embedding methods.** Takens delay-coordinate embedding (Takens, 1981) reconstructs the attractor topology from scalar time series, enabling local linear prediction (Farmer & Sidorowich, 1987). These methods are model-free but degrade rapidly beyond a few Lyapunov times. ### 1.3 Our Contribution I introduce a **domain-adaptive prediction framework** that: 1. **Preserves physics exactly** — the equations of motion are never modified; all correction operates in the prediction layer2. **Adapts to dynamical regime** — different prediction architectures for pendulum (bounded, high-Lyapunov) versus celestial (unbounded, moderate-Lyapunov) systems3. **Requires no training data** — the FCE learns phase-space structure online from the trajectory being predicted4. **Maintains conservation laws** — energy and angular momentum conservation are verified, not assumed5. **Scales across complexity** — from 2-body (double pendulum) to 10-body (five-body 2D) systems with no architectural changes6. **Exploits forensic intelligence** — a 13-class post-prediction enhancement pipeline that analyzes snap genealogy, coupling modes, energy partitioning, and arm dynamics to refine predictions by an additional 13–34% --- ## 2. Mathematical Framework ### 2.1 Phase Space Reconstruction via Takens Embedding Given a scalar time series $\{x(t_1), x(t_2), \ldots, x(t_N)\}$ sampled at interval $\Delta t$, the Takens delay-coordinate embedding constructs vectors in $\mathbb{R}^m$: $$\mathbf{y}(t_i) = \big(x(t_i),\; x(t_i - \tau),\; x(t_i - 2\tau),\; \ldots,\; x(t_i - (m-1)\tau)\big)$$ where $m = 7$ is the embedding dimension and $\tau$ is the time delay, estimated as the first local minimum of the autocorrelation function: $$R(\tau) = \frac{1}{N-\tau} \sum_{i=1}^{N-\tau} (x(t_i) - \bar{x})(x(t_i + \tau) - \bar{x})$$ By Takens' theorem (1981), for $m \geq 2d + 1$ where $d$ is the box-counting dimension of the attractor, the embedding provides a diffeomorphic reconstruction of the original phase space dynamics. ### 2.2 Local Linear Prediction via k-Nearest Neighbors For a query point $\mathbf{y}_q$ in the embedded space, we identify the $k = 5$ nearest neighbors $\{\mathbf{y}_{n_1}, \ldots, \mathbf{y}_{n_k}\}$ subject to a Theiler window exclusion $|n_i - q| > w$ (where $w = \tau$) to avoid temporal correlations. The one-step prediction is: $$\hat{x}(t_q + \Delta t) = \sum_{i=1}^{k} w_i \cdot x(t_{n_i} + \Delta t), \quad w_i = \frac{d_i^{-1}}{\sum_{j=1}^{k} d_j^{-1}}$$ where $d_i = \|\mathbf{y}_q - \mathbf{y}_{n_i}\|$ is the Euclidean distance in embedding space. Multi-step predictions are generated iteratively by appending each prediction to the embedding window. ### 2.3 Signed Curvature in Phase Space The FCE operates on the signed curvature of a trajectory in two-dimensional phase space. Given position $\mathbf{r}(t)$, velocity $\mathbf{v} = \dot{\mathbf{r}}$, and acceleration $\mathbf{a} = \ddot{\mathbf{r}}$, the signed curvature is: $$\kappa = \frac{v_x a_y - v_y a_x}{|\mathbf{v}|^3}$$ This quantity encodes how the trajectory bends at each instant. Positive $\kappa$ indicates counterclockwise bending; negative indicates clockwise. The key insight is that **chaotic trajectories exhibit recurring curvature patterns** that are indexed by the cumulative phase of the motion, even when the trajectory itself never repeats exactly. ### 2.4 Pi-Scaled Phase Binning The FCE accumulates a cumulative phase angle: $$\phi(t) = \phi(t - \Delta t) + |\kappa(t)| \cdot |\mathbf{v}(t)| \cdot \Delta t$$ This phase is then mapped to a bin index via $\pi$-scaling: $$b = \left\lfloor \frac{(\phi / \pi) \bmod 2}{2} \times N_{\text{bins}} \right\rfloor$$ where $N_{\text{bins}} = 32$. The $\pi$-scaling (rather than $2\pi$) creates a doubled phase space that captures both forward and return motion patterns within a single cycle. Each bin accumulates curvature statistics with exponential decay: $$S_b \leftarrow \gamma S_b + \kappa, \quad C_b \leftarrow \gamma C_b + 1, \quad W_b \leftarrow \gamma W_b + 1$$ where $\gamma = 0.995$ provides recency weighting, and the predicted curvature for phase bin $b$ is $\hat{\kappa}_b = S_b / W_b$. ### 2.5 Perpendicular Correction Given a predicted curvature $\hat{\kappa}$ from the phase bins and the current curvature $\kappa$, the correction residual is: $$\Delta\kappa = \hat{\kappa} - \kappa$$ The correction is applied **perpendicular to the velocity vector**, ensuring it does not change the kinetic energy: $$\mathbf{C} = \alpha \cdot \Delta\kappa \cdot |\mathbf{v}|^2 \cdot \hat{\mathbf{n}}$$ where $\alpha = 0.06$ is the correction strength and $\hat{\mathbf{n}} = (-v_y, v_x) / |\mathbf{v}|$ is the unit normal. Since $\mathbf{C} \cdot \mathbf{v} = 0$, the correction preserves the speed $|\mathbf{v}|$ and thus the kinetic energy: $$\mathbf{C}_\perp = \mathbf{C} - \frac{\mathbf{C} \cdot \mathbf{v}}{|\mathbf{v}|^2}\mathbf{v}$$ This perpendicular projection guarantees $\mathbf{C}_\perp \cdot \mathbf{v} = 0$ identically, preserving kinetic energy by construction. ### 2.6 Adaptive Correction via Fractal Dimension The box-counting fractal dimension $D_f$ of a trajectory segment drives the adaptive correction strength: $$\alpha(D_f) = \text{clip}\!\left(0.45 - 0.30 \cdot (D_f - 1.0),\; 0.15,\; 0.45\right)$$ mapping smooth trajectories ($D_f \approx 1.0$) to aggressive correction ($\alpha = 0.45$) and chaotic trajectories ($D_f > 2.0$) to gentle correction ($\alpha = 0.15$). The box-counting d",unassignable,,,"Not a reservoir system: the method is Takens delay-coordinate embedding + k-NN local linear prediction with correction layers, 'requiring... no training data, and no pre-trained models' (no trained readout); RC appears only as cited related work ('Reservoir computing (Pathak et al., 2018)... can learn dynamics from data, but...') -> unassignable (out of scope / fails membership). Data-quality flag: the abstract field contains a full pasted manuscript."
RC-5102,1,PO-01-211 LONG-TIME MACHINE-LEARNING PREDICTION OF COMPLEX SPATIOTEMPORAL DYNAMICS DURING FIBRILLATION IN LIVE EXPLANTED PIG AND HUMAN HEARTS,,unassignable,,,Title-only conference-poster record (no_abstract=1); title says 'machine-learning prediction' with no reservoir architecture named -> unassignable.
RC-1648,,Reservoir computing with error correction: Long-term behaviors of stochastic dynamical systems,"The prediction of stochastic dynamical systems and the capture of dynamical behaviors are profound problems. In this article, we propose a data-driven framework combining Reservoir Computing and Normalizing Flow to study this issue, which mimics error modeling to improve traditional Reservoir Computing performance and integrates the virtues of both approaches. With few assumptions about the underlying stochastic dynamical systems, this model-free method successfully predicts the long-term evolution of stochastic dynamical systems and replicates dynamical behaviors. We verify the effectiveness of the proposed framework in several experiments, including the stochastic Van der Pal oscillator, El Niño-Southern Oscillation simplified model, and stochastic Lorenz system. These experiments consist of Markov/non-Markov and stationary/non-stationary stochastic processes which are defined by linear/nonlinear stochastic differential equations or stochastic delay differential equations. Additionally, we explore the noise-induced tipping phenomenon, relaxation oscillation, stochastic mixed-mode oscillation, and replication of the strange attractor.",F1,F1.1,,"'Traditional Reservoir Computing' (contrasted with the added Normalizing Flow error model) -> term of art for the standard random recurrent network with internal state -> steps 1-3 resolve to F1, default F1.1. Flagged judgement: inference from terminology rather than an explicit mechanism statement; unassignable was the considered alternative."
RC-5476,,From chaos to care: Personalized AI for early cardiac arrhythmia warning,"Cardiac arrhythmias are abnormal heart rhythms characterized by disordered electrical dynamics that impair cardiac function and pose a major global burden of morbidity and mortality. Early and accurate prediction of arrhythmic anomalies from physiological time series is crucial for effective intervention, yet remains challenging due to the nonlinear, nonstationary, and individualized nature of cardiac dynamics. Despite significant advances in machine learning-based arrhythmia detection, most existing methods operate as static classifiers on electrocardiographic signals and lack online prediction, patient-specific adaptation, and mechanistic interpretability. From a dynamical-systems perspective, arrhythmias represent qualitative regime transitions, often preceded by subtle, temporally extended deviations that are difficult to detect in real time. Here we introduce CASCADE (Chaotic Attractor Sensitivity for Cardiac Anomaly Detection), an online and personalized anomaly forecasting framework built on a special type of reservoir computing called Dynamical Systems Machine Learning (DynML). DynML employs ensembles of continuous-time nonlinear dynamical systems as chaotic reservoirs to reconstruct and forecast short-term cardiac dynamics on a beat-to-beat basis, training only a linear readout. This design enables efficient online adaptation without retraining the underlying dynamical model. Rather than relying on static beat-level classification, CASCADE identifies arrhythmic events as failures of short-term predictability, manifested as statistically significant deviations between predicted and observed dynamics relative to subject-specific baselines. Detection performance is governed by the intrinsic dynamical complexity of the reservoir, quantified by topological entropy. Reservoirs operating near critical entropy regimes optimally amplify subtle, temporally extended irregularities in heartbeat dynamics, rendering incipient arrhythmic signatures linearly separable at the readout level. Topological entropy thus serves both as a predictor of model performance and a principled control parameter for reservoir design. When evaluated on the MIT-BIH Arrhythmia dataset, CASCADE achieved consistently high F1 scores, precision, recall, and overall accuracy across diverse patient populations, demonstrating strong generalizability across clinical and real-world settings. By integrating chaotic reservoir computing, entropy-guided tuning, and online personalized forecasting, CASCADE reframes arrhythmia detection as a problem of dynamical regime transition rather than static classification. This perspective provides a scalable, interpretable, and computationally efficient framework for real-time cardiac monitoring and early-warning clinical decision support.",F1,,,"DynML: 'employs ensembles of continuous-time nonlinear dynamical systems as chaotic reservoirs... training only a linear readout' -> simulated state variables with specified, designed (ODE) coupling structure -> step 3, F1. No F1 subclass names low-dimensional chaotic-ODE reservoirs (F1.5 rejected: no coupling among ensemble members stated) -> subclass blank, gap noted."
RC-4782,1,An iontronic reservoir for highly robust neuromorphic prosthesis,,unassignable,,,"Title-only record (no_abstract=1). 'Iontronic reservoir' names a substrate, not a state-generation mechanism (single-device multiplexing F2 vs distributed medium F4 undeterminable from the title); material must not decide the family -> unassignable."
RC-5868,,Reconstructing dynamics from sparse observations with no training on target system,"In applications, an anticipated situation is where the system of interest has never been encountered before and sparse observations can be made only once. Can the dynamics be faithfully reconstructed from the limited observations without any training data? This problem defies any known traditional methods of nonlinear time-series analysis as well as existing machine-learning methods that typically require extensive data from the target system for training. We address this challenge by developing a hybrid transformer and reservoir-computing machine-learning scheme. The key idea is that, for a complex and nonlinear target system, the training of the transformer can be conducted not using any data from the target system, but with essentially unlimited synthetic data from known chaotic systems. The trained transformer is then tested with the sparse data from the target system. The output of the transformer is further fed into a reservoir computer for predicting the long-term dynamics or the attractor of the target system. The power of the proposed hybrid machine-learning framework is demonstrated using a large number of prototypical nonlinear dynamical systems, with high reconstruction accuracy even when the available data is only 20% of that required to faithfully represent the dynamical behavior of the underlying system. The framework provides a paradigm of reconstructing complex and nonlinear dynamics in the extreme situation where training data does not exist and the observations are random and sparse.",unassignable,,,RC component described only as 'the output of the transformer is further fed into a reservoir computer'; no state-map information (recurrent network vs feature-based undeterminable) -> unassignable. The trained transformer front-end sits outside the family axis.
