ratio,decision,adjudicated_by,note,record_id_a,title_a,year_a,venue_a,doi_a,source_db_a,record_id_b,title_b,year_b,venue_b,doi_b,source_db_b
0.9452,,,,RC-2807,Echo state graph neural networks with analogue random resistive memory arrays,2023,Nature Machine Intelligence,10.1038/s42256-023-00609-5,arxiv|openalex,RC-5740,Echo state graph neural networks with analogue random resistor arrays,2021,arXiv (Cornell University),10.48550/arxiv.2112.15270,arxiv|openalex
0.9451,,,,RC-0009,"Data-driven prediction of a multi-scale Lorenz 96 chaotic system using a hierarchy of deep learning methods: Reservoir computing, ANN, and RNN-LSTM",2019,Bulletin of the American Physical Society,10.31223/osf.io/fbxns,openalex,RC-1607,"Data-driven prediction of a multi-scale Lorenz 96 chaotic system using deep learning methods: Reservoir computing, ANN, and RNN-LSTM",2019,,10.31223/osf.io/fbxns,openalex
0.9437,,,,RC-0326,Modeling signal transduction pathways with biologically-inspired deep ESN for membrane voltage dynamics in C. elegans olfactory neurons,2026,Institutional Repositories DataBase (IRDB),10.1587/nolta.17.21,openalex,RC-5157,Modeling signal transduction pathways with biologically-inspired deep ESN for membrane voltage dynamics in &lt;i&gt;C. elegans&lt;/i&gt; olfactory neurons,2025,Nonlinear Theory and Its Applications IEICE,10.1587/nolta.17.21,openalex
0.943,,,,RC-1634,Experimental demonstration of a photonic reservoir computing system based on Fabry Perot laser for multiple tasks processing,2024,Nanophotonics,10.1515/nanoph-2023-0708,openalex,RC-3966,Corrigendum to: Experimental demonstration of a photonic reservoir computing system based on Fabry Perot laser for multiple tasks processing,2025,Nanophotonics,10.1515/nanoph-2024-0713,openalex
0.9419,,,,RC-1628,Evanescent coupling of nonlinear integrated cavities for all-optical reservoir computing,2023,New Journal of Physics,10.1088/1367-2630/acfba6,arxiv|openalex,RC-5802,Direct coupling of nonlinear integrated cavities for all-optical reservoir computing,2023,arXiv (Cornell University),10.48550/arxiv.2307.10950,arxiv|openalex
0.9412,,,,RC-1703,Reconfigurable Resistive Switching Memory for Telegraph Code Sensing and Recognizing Reservoir Computing Systems,2024,Small,10.1002/smll.202402961,openalex,RC-3968,Reconfigurable Resistive Switching Memory for Telegraph Code Sensing and Recognizing Reservoir Computing Systems (Small 40/2024),2024,Small,10.1002/smll.202470296,openalex
0.9398,,,,RC-1922,Embodying Multifunctional Mechano‐Intelligence in and Through Phononic Metastructures Harnessing Physical Reservoir Computing (Adv. Sci. 34/2023),2023,Advanced Science,10.1002/advs.202370235,openalex,RC-6189,Embodying Multifunctional Mechano‐Intelligence in and Through Phononic Metastructures Harnessing Physical Reservoir Computing,2023,Advanced Science,10.1002/advs.202305074,arxiv|openalex
0.9394,,,,RC-0649,Fractional Order Echo State Network for Time Series Prediction,2020,Neural Processing Letters,10.1007/s11063-020-10267-y,openalex,RC-0670,Fractional-integer-order echo state network for time series prediction,2024,Applied Soft Computing,10.1016/j.asoc.2024.111289,openalex
0.9386,,,,RC-2662,Correction to: Quantum next generation reservoir computing: an efficient quantum algorithm for forecasting quantum dynamics,2025,Quantum Machine Intelligence,10.1007/s42484-025-00245-9,openalex,RC-6161,Quantum next generation reservoir computing: an efficient quantum algorithm for forecasting quantum dynamics,2024,Quantum Machine Intelligence,10.1007/s42484-024-00188-7,arxiv|openalex
0.9384,,,,RC-4982,A Data Mining Approach to Assess Field Scale CO2 EOR and Sequestration Performance Correlated to Geological and Reservoir Characteristics,2025,,10.2118/223997-ms,openalex,RC-4984,A Data Mining Approach to Assess Field Scale CO2 Enhanced Oil Recovery and Sequestration Performance Correlated to Geological and Reservoir Characteristics,2025,SPE Journal,10.2118/223997-pa,openalex
0.938,,,,RC-1676,All-optical spiking processing and reservoir computing with a passive silicon microring and wavelength-time division multiplexing,2025,Photonics Research,10.1364/prj.558405,openalex,RC-3905,All-optical passive spiking processing and reservoir computing with a silicon microring and wavelength-time division multiplexing,2025,,10.1364/opticaopen.28297334,openalex
0.9378,,,,RC-3885,Temperature Driven Current–Voltage Characteristics of Ionic Liquid Type Intelligent Connection Device,2022,IEEE Journal of the Electron Devices Society,10.1109/jeds.2022.3199205,openalex,RC-5009,Temperature Dependence of Current-Voltage Characteristics of Ionic Liquid Type Intelligent Connection Device,2022,2022 6th IEEE Electron Devices Technology &amp; Manufacturing Conference (EDTM),10.1109/edtm53872.2022.9798346,openalex
0.9359,,,,RC-5364,"Review of ""Reconstructing coupled time series in climate systems by machine learning""",2020,,10.5194/esd-2019-63-rc1,openalex,RC-5414,Reconstructing Coupled Time Series in Climate Systems by Machine Learning,2020,,10.5194/esd-2019-63-rc2,openalex
0.9353,,,,RC-5984,Sign Language Recognition using Bidirectional Reservoir Computing,2025,Institutional Repositories DataBase (IRDB),10.48550/arxiv.2512.00777,arxiv|openalex,RC-6382,Sign language recognition using parallel bidirectional reservoir computing,2025,Nonlinear Theory and Its Applications IEICE,10.1587/nolta.17.79,arxiv|openalex
0.9349,,,,RC-1261,Grey Wolf Optimization–Based Deep Echo State Network for Time Series Prediction,2022,Frontiers in Energy Research,10.3389/fenrg.2022.858518,openalex,RC-3155,Correction: Grey wolf optimization–based deep echo state network for time series prediction,2026,Frontiers in Energy Research,10.3389/fenrg.2026.1770773,openalex
0.9333,,,,RC-4582,Rebooting Neuromorphic Design - A Complexity Engineering Approach,2020,arXiv (Cornell University),10.1109/icrc2020.2020.00012,arxiv|openalex,RC-5693,Rebooting Neuromorphic Hardware Design -- A Complexity Engineering Approach,2020,arXiv (Cornell University),10.48550/arxiv.2005.00522,arxiv|openalex
0.9333,,,,RC-2316,"Ergodicity, lack thereof, and the performance of reservoir computing with memristive networks and nanowire",2024,,10.2172/2386906,openalex,RC-6263,"Ergodicity, lack thereof, and the performance of reservoir computing with memristive networks",2024,Nano Express,10.1088/2632-959x/ad2999,arxiv|openalex
0.9322,,,,RC-1485,Tunable reservoir computing based on iterative function systems,2021,Optics Express,10.1364/oe.441236,openalex,RC-3195,Reservoir Computing Based on Iterative Function Systems,2023,,10.1007/978-981-99-5072-0_11,openalex
0.9302,,,,RC-0491,Echo-state networks for soft sensor design in an SRU process,2021,Information Sciences,10.1016/j.ins.2021.03.013,openalex,RC-2964,Data for: Echo-state networks for Soft Sensor design in an SRU process,2021,Data Archiving and Networked Services (DANS),10.17632/kcpnnrn67p.1,openalex
0.9297,,,,RC-0528,Multilayer Reservoir Computing Based on Ferroelectric α‐In<sub>2</sub>Se<sub>3</sub> for Hierarchical Information Processing,2022,Advanced Materials,10.1002/adma.202108826,openalex,RC-2090,Multilayer Reservoir Computing Based on Ferroelectric α‐In<sub>2</sub>Se<sub>3</sub> for Hierarchical Information Processing (Adv. Mater. 48/2022),2022,Advanced Materials,10.1002/adma.202270333,openalex
0.929,,,,RC-1344,Computational capabilities of a multicellular reservoir computing system,2023,PLoS ONE,10.1371/journal.pone.0282122,openalex,RC-3315,Correction: Computational capabilities of a multicellular reservoir computing system,2024,PLoS ONE,10.1371/journal.pone.0315300,openalex
0.9283,,,,RC-0064,Intrinsic Disordered Network in Multiferroic YMnO3 Single Crystals for In-Materio Physical Reservoir Computing Through Tuneable Domain-Wall Structure,2025,,,openalex,RC-3069,Intrinsic Disordered Network in Multiferroic YMnO <sub>3</sub> Single Crystals for In‐Materio Physical Reservoir Computing Through Tuneable Domain‐Wall Structure (Small 48/2025),2025,Small,10.1002/smll.71539,openalex
0.928,,,,RC-0080,Perceptron Theory for Predicting the Accuracy of Neural Networks.,2020,arXiv (Cornell University),,openalex,RC-6359,Perceptron Theory Can Predict the Accuracy of Neural Networks,2023,IEEE Transactions on Neural Networks and Learning Systems,10.1109/tnnls.2023.3237381,arxiv|openalex
0.9273,,,,RC-0280,[Invited] Assessing electron transport through 2D molecule-nanoparticle networks for reservoir computing sensing (Invited),2020,HAL (Le Centre pour la Communication Scientifique Directe),,openalex,RC-3748,Assessing electron transport through 2D molecule-nanoparticle networks for reservoir computing sensing,2020,HAL (Le Centre pour la Communication Scientifique Directe),10.1117/12.2567214,openalex
0.9272,,,,RC-1980,Short-term Traffic Flow Prediction Based on Improved Deep Echo State Network,2021,,10.23919/ccc52363.2021.9550595,openalex,RC-3153,Short-Term Traffic Flow Prediction Based on I-SAWOA-Deep Echo State Network,2022,,10.1109/cac57257.2022.10055270,openalex
0.9268,,,,RC-1276,Iono–Magnonic Reservoir Computing With Chaotic Spin Wave Interference Manipulated by Ion‐Gating,2024,Advanced Science,10.1002/advs.202411777,openalex,RC-4017,Iono–Magnonic Reservoir Computing With Chaotic Spin Wave Interference Manipulated by Ion‐Gating (Adv. Sci. 3/2025),2025,Advanced Science,10.1002/advs.202570015,openalex
0.9259,,,,RC-1430,Proposal of Reconstructive Reservoir Computing to Detect Anomaly in Time-series Signals,2022,2022 International Joint Conference on Neural Networks (IJCNN),10.1109/ijcnn55064.2022.9892805,openalex,RC-1900,Reconstructive Reservoir Computing to Detect Anomaly in Time-series Signals,2022,,10.36227/techrxiv.17704682,openalex
0.9259,,,,RC-1463,On the prediction of the turbulent flow behind cylinder arrays via echo state networks,2024,Machine Learning Science and Technology,10.1088/2632-2153/ad5414,openalex,RC-3010,Prediction of turbulent flows behind cylinder arrays via Echo State Networks,2024,Research Square,10.21203/rs.3.rs-3911885/v1,openalex
0.9243,,,,RC-4167,"Review of ""Combining Ensemble Kalman Filter and Reservoir Computing to predict spatio-temporal chaotic systems from imperfect observations and models"" by F. Tomizawa and Y. Sawada",2020,,10.5194/gmd-2020-211-rc3,openalex,RC-4203,"Interactive comment on ""Combining Ensemble Kalman Filter and Reservoir Computing to predict spatio-temporal chaotic systems from imperfect observations and models"" by Futo Tomizawa and Yohei Sawada",2020,,10.5194/gmd-2020-211-ac1,openalex
0.9221,,,,RC-3454,Dataset for: Biological neurons act as generalization filters in reservoir computing,2023,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.7792576,openalex,RC-6169,Biological neurons act as generalization filters in reservoir computing,2023,Proceedings of the National Academy of Sciences,10.1073/pnas.2217008120,arxiv|openalex
0.9219,,,,RC-0713,A Hardware-Oriented Echo State Network and its FPGA Implementation,2020,Journal of Robotics Networking and Artificial Life,10.2991/jrnal.k.200512.012,openalex,RC-2844,A Hardware-Oriented Echo State Network for FPGA Implementation,2020,Proceedings of International Conference on Artificial Life and Robotics,10.5954/icarob.2020.os20-1,openalex
0.9215,,,,RC-3157,Time Series Prediction of Echo State Network Based on Chebyshev Mapping and Strongly Connected Topology,2023,Research Square,10.21203/rs.3.rs-3350392/v1,openalex,RC-3892,Time Series Prediction of ESN Based on Chebyshev Mapping and Strongly Connected Topology,2024,Neural Processing Letters,10.1007/s11063-024-11474-7,openalex
0.9204,,,,RC-1105,Flexible Tunable‐Plasticity Synaptic Transistors for Mimicking Dynamic Cognition and Reservoir Computing,2025,Advanced Materials,10.1002/adma.202418418,openalex,RC-3955,Flexible Tunable‐Plasticity Synaptic Transistors for Mimicking Dynamic Cognition and Reservoir Computing (Adv. Mater. 24/2025),2025,Advanced Materials,10.1002/adma.202570167,openalex
0.9189,,,,RC-0511,Reservoir computing as digital twins for nonlinear dynamical systems,2023,Chaos An Interdisciplinary Journal of Nonlinear Science,10.1063/5.0138661,openalex,RC-3439,Reservoir computing as digital twins for controlling nonlinear dynamical systems,2026,Nonlinear Dynamics,10.1007/s11071-025-12087-y,openalex
0.9184,,,,RC-0299,The Computational Capacity of Memristor Reservoirs,2020,arXiv (Cornell University),,openalex,RC-4675,The Computational Capacity of Mem-LRC Reservoirs,2020,,10.1145/3381755.3381779,openalex
0.918,,,,RC-0961,Controller Design Based on Echo State Network with Delay Output for Nonlinear System,2020,Complexity,10.1155/2020/8643029,openalex,RC-3083,Corrigendum to “Controller Design Based on Echo State Network with Delay Output for Nonlinear System”,2021,Complexity,10.1155/2021/3041205,openalex
0.918,,,,RC-0497,Reservoir computing on a silicon platform with a ferroelectric field-effect transistor,2022,Communications Engineering,10.1038/s44172-022-00021-8,openalex,RC-3621,Raw data for Reservoir computing on silicon platform with a ferroelectric field-effect transistor,2022,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.6816575,openalex
0.918,,,,RC-3184,Post-processing methods for delay embedding and feature scaling of reservoir computers,2025,Communications Engineering,10.1038/s44172-024-00330-0,openalex,RC-4362,Total recall: Post-processing methods for delay-embedding and feature scaling ofreservoir computer,2024,Research Square,10.21203/rs.3.rs-4741218/v1,openalex
0.9167,,,,RC-2105,Dynamical Graph Echo State Networks with Snapshot Merging for Spreading Process Classification,2023,Communications in computer and information science,10.1007/978-981-99-8141-0_39,arxiv|openalex,RC-5796,Dynamical Graph Echo State Networks with Snapshot Merging for Dissemination Process Classification,2023,arXiv (Cornell University),10.48550/arxiv.2307.01237,arxiv|openalex
0.916,,,,RC-0517,In‐Sensor Reservoir Computing Based on Optoelectronic Synapse,2022,Advanced Intelligent Systems,10.1002/aisy.202200196,openalex,RC-0648,In-sensor reservoir computing based on optoelectronic synaptic devices,2023,Applied Physics Letters,10.1063/5.0160599,openalex
0.9143,,,,RC-4444,Synaptic Functionality and Neuromorphic Information Processing in Membrane Ion Channel Junctions,2026,Advanced Materials,10.1002/adma.202519525,openalex,RC-5256,Synaptic Functionality and Neuromorphic Information Processing in Membrane Ion Channel Junctions (Adv. Mater. 31/2026),2026,Advanced Materials,10.1002/adma.73427,openalex
0.9139,,,,RC-1903,Project 1.A83Rapid High-dimensional Semantic Segmentation With Echo State Networks,2021,,10.26226/morressier.608c2248dc2fa1af562471d6,openalex,RC-2864,RAPID HIGH-DIMENSIONAL SEMANTIC SEGMENTATION WITH ECHO STATE NETWORKS,2021,SAE technical papers on CD-ROM/SAE technical paper series,10.4271/2024-01-3939,openalex
0.9133,,,,RC-0469,Physical Implementation of Reservoir Computing through Electrochemical Reaction,2021,Advanced Science,10.1002/advs.202104076,openalex,RC-2094,Physical Implementation of Reservoir Computing through Electrochemical Reaction (Adv. Sci. 6/2022),2022,Advanced Science,10.1002/advs.202270036,openalex
0.913,,,,RC-0526,Role of delay-times in delay-based photonic reservoir computing [Invited],2022,Optical Materials Express,10.1364/ome.451016,arxiv|openalex,RC-5738,The role of delay-times in delay-based Photonic Reservoir Computing,2021,arXiv (Cornell University),10.48550/arxiv.2112.11830,arxiv|openalex
0.913,,,,RC-4731,Cellular Automata Inspired Multistable Origami Metamaterials for Mechanical Learning (Adv. Sci. 34/2023),2023,Advanced Science,10.1002/advs.202370236,openalex,RC-6398,Cellular Automata Inspired Multistable Origami Metamaterials for Mechanical Learning,2023,Advanced Science,10.1002/advs.202305146,arxiv|openalex
