ratio,decision,adjudicated_by,note,record_id_a,title_a,year_a,venue_a,doi_a,source_db_a,record_id_b,title_b,year_b,venue_b,doi_b,source_db_b,proposed_decision,proposed_confidence,proposed_doi_checked,proposed_evidence,proposed_case_for_same,proposed_case_for_different
0.9378,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","A is IEEE J. Electron Devices Soc., 30 references, pp 893-897; B is a 2022 IEEE EDTM proceedings-article, 10 references, pp 282-284. Titles differ ('Temperature Driven' vs 'Temperature Dependence of'). A conference paper and an extended journal version are separate publications.",RC-3885,Temperature Driven Current–Voltage Characteristics of Ionic Liquid Type Intelligent Connection Device,2022,IEEE Journal of the Electron Devices Society,10.1109/jeds.2022.3199205,openalex,RC-5009,Temperature Dependence of Current-Voltage Characteristics of Ionic Liquid Type Intelligent Connection Device,2022,2022 6th IEEE Electron Devices Technology &amp; Manufacturing Conference (EDTM),10.1109/edtm53872.2022.9798346,openalex,uncertain,medium,1,"Identical 10-author list and year, but 10.1109/edtm53872.2022.9798346 is a 3-page EDTM proceedings item and 10.1109/jeds.2022.3199205 is a 5-page JEDS journal article; no Crossref relation",Identical authors and year; standard extended-version pattern.,AMBIGUOUS CONFERENCE-VS-JOURNAL CASE; titles differ ('Driven' vs 'Dependence').
0.9297,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","Wiley cover feature: both Advanced Materials with the same title, A carrying 44 references and B (adma.202270333) carrying 0.",RC-0528,Multilayer Reservoir Computing Based on Ferroelectric α‐In<sub>2</sub>Se<sub>3</sub> for Hierarchical Information Processing,2022,Advanced Materials,10.1002/adma.202108826,openalex,RC-2090,Multilayer Reservoir Computing Based on Ferroelectric α‐In<sub>2</sub>Se<sub>3</sub> for Hierarchical Information Processing (Adv. Mater. 48/2022),2022,Advanced Materials,10.1002/adma.202270333,openalex,different,medium,1,"10.1002/adma.202108826 is the article (45 referenced works, 153 citations); 10.1002/adma.202270333 has the same 9 authors and volume/issue but ZERO referenced works and no pagination - the Wiley cover-feature record","Same authors, journal, volume, issue.","Cover-picture item, a companion record. HOUSE POLICY NEEDED."
0.9283,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","A is the article record (its abstract matches the Small article verbatim); B is the Small cover feature, 0 references. Note that A and RC-2125 are the same article and are adjudicated as such in their own row.",RC-0064,Intrinsic Disordered Network in Multiferroic YMnO3 Single Crystals for In-Materio Physical Reservoir Computing Through Tuneable Domain-Wall Structure,2025,,,openalex,RC-3069,Intrinsic Disordered Network in Multiferroic YMnO <sub>3</sub> Single Crystals for In‐Materio Physical Reservoir Computing Through Tuneable Domain‐Wall Structure (Small 48/2025),2025,Small,10.1002/smll.71539,openalex,different,medium,1,10.1002/smll.71539 carries '(Small 48/2025)' - a Wiley issue cover item; record a is the plain-title IRDB article deposit,Identical author list and title text.,b is the cover-picture front-matter record. HOUSE POLICY NEEDED.
0.9219,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","A is the J. Robotics, Networking and AI article (p. 58); B is the ICAROB 2020 proceedings-article (pp 187-190). Titles differ ('and its FPGA Implementation' vs 'for FPGA Implementation'). Two distinct peer-reviewed publications, consistent with the treatment of the other conference/journal pairs here.",RC-0713,A Hardware-Oriented Echo State Network and its FPGA Implementation,2020,Journal of Robotics Networking and Artificial Life,10.2991/jrnal.k.200512.012,openalex,RC-2844,A Hardware-Oriented Echo State Network for FPGA Implementation,2020,Proceedings of International Conference on Artificial Life and Robotics,10.5954/icarob.2020.os20-1,openalex,uncertain,medium,1,"10.5954/icarob.2020.os20-1 is ICAROB proceedings (Jan 2020); 10.2991/jrnal.k.200512.012 is JRNAL (May 2020); both Honda and Tamukoh, same publisher","Same authors, year and publisher; JRNAL routinely republishes ICAROB presentations.","JRNAL articles are typically extended, separately citable versions; titles differ ('and its' vs 'for'). AMBIGUOUS CONFERENCE-VS-JOURNAL CASE."
0.9204,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","Wiley cover feature: Advanced Materials, A 55 references, B (adma.202570167) 0.",RC-1105,Flexible Tunable‐Plasticity Synaptic Transistors for Mimicking Dynamic Cognition and Reservoir Computing,2025,Advanced Materials,10.1002/adma.202418418,openalex,RC-3955,Flexible Tunable‐Plasticity Synaptic Transistors for Mimicking Dynamic Cognition and Reservoir Computing (Adv. Mater. 24/2025),2025,Advanced Materials,10.1002/adma.202570167,openalex,different,medium,1,"10.1002/adma.202570167 is the Adv. Mater. 37(24) issue cover feature, separate front matter from article 10.1002/adma.202418418; authors match",Same authors and title describing the same study.,Wiley cover entries are separately DOI'd front-matter items. HOUSE POLICY NEEDED.
0.9167,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","B is the arXiv preprint (2307.01237) of A, the CCIS book-chapter (20 references, pp 523-534). The work was retitled between preprint and publication ('Dissemination Process' to 'Spreading Process'), which is why the title ratio is only 0.917.",RC-2105,Dynamical Graph Echo State Networks with Snapshot Merging for Spreading Process Classification,2023,Communications in computer and information science,10.1007/978-981-99-8141-0_39,openalex,RC-5796,Dynamical Graph Echo State Networks with Snapshot Merging for Dissemination Process Classification,2023,arXiv (Cornell University),10.48550/arxiv.2307.01237,arxiv|openalex,same,medium,1,"Crossref 10.1007/978-981-99-8141-0_39 (ICONIP 2023) and arXiv 2307.01237 share exactly three authors and the DynGESN method, same 2023",Identical authors and year; arXiv July precedes ICONIP November; 'Dissemination' renamed 'Spreading'.,Title-word change with no preprint relation to confirm.
0.9143,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","Wiley cover feature: Advanced Materials, A 68 references, B (adma.73427) 0.",RC-4444,Synaptic Functionality and Neuromorphic Information Processing in Membrane Ion Channel Junctions,2026,Advanced Materials,10.1002/adma.202519525,openalex,RC-5256,Synaptic Functionality and Neuromorphic Information Processing in Membrane Ion Channel Junctions (Adv. Mater. 31/2026),2026,Advanced Materials,10.1002/adma.73427,openalex,different,medium,1,10.1002/adma.73427 is the Adv. Mater. 38(31) cover item; article is 10.1002/adma.202519525; same authors,Identical authors and title.,Cover feature is separate Wiley front matter. HOUSE POLICY NEEDED.
0.9139,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","A (10.26226/morressier...) is Crossref posted-content/other, a conference abstract with 0 references; B is an SAE Technical Paper with 13 references. Abstract and full paper are separate records.",RC-1903,Project 1.A83Rapid High-dimensional Semantic Segmentation With Echo State Networks,2021,,10.26226/morressier.608c2248dc2fa1af562471d6,openalex,RC-2864,RAPID HIGH-DIMENSIONAL SEMANTIC SEGMENTATION WITH ECHO STATE NETWORKS,2021,SAE technical papers on CD-ROM/SAE technical paper series,10.4271/2024-01-3939,openalex,different,medium,1,"10.26226/morressier.608c2248dc2fa1af562471d6 is a Morressier presentation, sole author Gardner; 10.4271/2024-01-3939 is an SAE Technical Paper with eight authors","Same title and lead author, same GVSETS project.",Single-author presentation abstract vs eight-author technical paper.
0.913,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","Wiley cover feature, this one self-identifying: A's title ends '(Adv. Sci. 27/2023)' and it carries 0 references, against B's 46.",RC-4731,Cellular Automata Inspired Multistable Origami Metamaterials for Mechanical Learning (Adv. Sci. 34/2023),2023,Advanced Science,10.1002/advs.202370236,openalex,RC-6398,Cellular Automata Inspired Multistable Origami Metamaterials for Mechanical Learning,2023,Advanced Science,10.1002/advs.202305146,arxiv|openalex,different,medium,1,10.1002/advs.202370236 is the Adv. Sci. 10(34) cover item; 10.1002/advs.202305146 is the research article,"Same authors, title, journal and year.",Issue cover feature is distinct front matter. HOUSE POLICY NEEDED.
0.9118,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","B (10.2139/ssrn.5263710) is Crossref posted-content/preprint with 270 references; A is the Int. Review of Economics & Finance article with 263, article no. 104719. Preprint/journal pair; the title was adjusted ('Recent Advancements' to 'Recent Trends').",RC-4349,Deep learning for financial forecasting: A review of recent trends,2025,International Review of Economics & Finance,10.1016/j.iref.2025.104719,openalex,RC-4878,Deep Learning for Financial Forecasting: A Review of Recent Advancements,2025,SSRN Electronic Journal,10.2139/ssrn.5263710,openalex,same,medium,1,"Crossref 10.1016/j.iref.2025.104719 and SSRN 10.2139/ssrn.5263710 share two authors, 2025, both Elsevier BV",Same authors and publisher route; 'Recent Advancements' retitled 'Recent Trends'.,No preprint relation recorded; abstracts unavailable for comparison.
0.9111,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","B is the 2025 arXiv preprint of A, the 2026 Medical Image Analysis article (71 references, article no. 104156). The published version prepends the 'HyperCOCO' system name, which is why the ratio is only 0.911.",RC-5620,HyperCOCO: Multi-sensory Hyper COgnitive COmputing for learning population level brain connectivity,2026,Medical Image Analysis,10.1016/j.media.2026.104156,openalex,RC-5943,Multi-Sensory Cognitive Computing for Learning Population-level Brain Connectivity,2025,arXiv,,arxiv,uncertain,medium,1,arXiv 2508.11436v1 introduces mCOCO; 10.1016/j.media.2026.104156 by the same three authors names the method HyperCOCO. No abstract available to confirm rename vs extension,"Same three authors, near-identical title.","Acronym change mCOCO->HyperCOCO may signal a hypergraph extension, i.e. a successor paper."
0.9091,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","Wiley cover feature, self-identifying: B's title ends '(Adv. Sci. 3/2024)' and it carries 0 references against A's 41.",RC-0451,Photonic Physical Reservoir Computing with Tunable Relaxation Time Constant,2023,Advanced Science,10.1002/advs.202304804,openalex,RC-1135,Photonic Physical Reservoir Computing with Tunable Relaxation Time Constant (Adv. Sci. 3/2024),2024,Advanced Science,10.1002/advs.202470016,openalex,different,medium,1,10.1002/advs.202470016 is the Adv. Sci. 11(3) cover item by Yamazaki and Kinoshita; article is 10.1002/advs.202304804,Same two authors and title.,Issue cover front matter with its own DOI. HOUSE POLICY NEEDED.
0.9091,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","Different works: A is 'Characterizing climate pathways' in Statistical Analysis and Data Mining (51 references); B is 'Validating climate pathways' (10.2172/2431810), an OSTI-registered conference record with 0 references.",RC-1395,Characterizing climate pathways using feature importance on echo state networks,2024,Statistical Analysis and Data Mining The ASA Data Science Journal,10.1002/sam.11706,arxiv|openalex,RC-2960,Validating climate pathways using feature importance on echo state networks,2023,,10.2172/2431810,openalex,different,medium,1,10.2172/2431810 is an OSTI Conference item (SAND2023-00045C) with four authors titled 'Validating...'; 10.1002/sam.11706 is a 2024 journal article with three authors titled 'Characterizing...',Same Sandia group and ESN methodology.,Different author lists and work types; 'Validating' vs 'Characterizing' changes meaning.
0.9084,same,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","B is the arXiv preprint (2307.09138) of A, the Science Advances article (79 references). The published title adds 'and single-' ('Few- and single-molecule'), which is why the ratio is 0.908.",RC-1082,Few- and single-molecule reservoir computing experimentally demonstrated with surface-enhanced Raman scattering and ion gating,2024,Science Advances,10.1126/sciadv.adk6438,openalex,RC-5800,Few-molecule reservoir computing experimentally demonstrated with surface enhanced Raman scattering and ion-gating stimulation,2023,arXiv (Cornell University),10.48550/arxiv.2307.09138,arxiv|openalex,same,medium,1,Crossref 10.1126/sciadv.adk6438 and arXiv 2307.09138 share the identical five authors and the same SERS ion-gating molecular RC experiment,Identical authors and experimental subject; 2023 preprint of the 2024 Sci. Adv. paper.,Published title broadens to 'Few- and single-molecule'; no explicit link.
0.9022,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","Wiley cover feature: Advanced Materials, A 75 references, B (adma.70825) 0, and B's title carries the issue tag.",RC-1642,Neuromorphic Light‐Responsive Organic Matter for <i>in Materia</i> Reservoir Computing,2025,Advanced Materials,10.1002/adma.202501813,openalex,RC-3954,Neuromorphic Light‐Responsive Organic Matter for <i>in Materia</i> Reservoir Computing (Adv. Mater. 41/2025),2025,Advanced Materials,10.1002/adma.70825,openalex,different,medium,1,10.1002/adma.202501813 is the article (79 referenced works); 10.1002/adma.70825 has the same 6 authors and volume/issue but ZERO referenced works and no pagination - the Wiley cover-feature record,"Same authors, journal, volume, issue.","Cover-picture item, a companion record. HOUSE POLICY NEEDED."
0.9604,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","B (10.5281/zenodo.7499746) is DataCite resourceTypeGeneral 'Dataset', related to A by IsCitedBy 10.1088/1361-6463/acb7ff. It is the dataset supporting the article, not a copy of it.",RC-0444,In materia implementation strategies of physical reservoir computing with memristive nanonetworks,2023,Journal of Physics D Applied Physics,10.1088/1361-6463/acb7ff,openalex,RC-2730,In materia implementation strategies of physical reservoir computing with memristive nanonetworks - Dataset,2023,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.7499746,openalex,different,high,,Record b is Zenodo deposit 10.5281/zenodo.7499746 titled '- Dataset'; a is J. Phys. D 10.1088/1361-6463/acb7ff,Dataset produced for that article.,"A data deposit is a separately citable output, not the paper."
0.95,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","A is the retracted article (36 references, pp 7039-7060); B is the Retraction Note (0 references, p. 19097). A retraction note is a separate published record.",RC-1874,RETRACTED ARTICLE: Enhancing Financial Risk Prediction Through Echo State Networks and Differential Evolutionary Algorithms in the Digital Era,2024,Journal of the Knowledge Economy,10.1007/s13132-024-02084-8,openalex,RC-3400,Retraction Note: Enhancing Financial Risk Prediction Through Echo State Networks and Differential Evolutionary Algorithms in the Digital Era,2025,Journal of the Knowledge Economy,10.1007/s13132-025-02991-4,openalex,different,high,,a is the retracted article 10.1007/s13132-024-02084-8 (2024); b is the retraction note 10.1007/s13132-025-02991-4 (2025),Retraction note duplicates the article title.,A retraction note is a separate editorial publication.
0.9272,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","Different papers at different conferences: A is CCC 2021 (16 refs, pp 2628-2632), B is CAC 2022 (11 refs, pp 4053-4058), and the titles name different methods ('Improved Deep ESN' vs 'I-SAWOA-Deep ESN').",RC-1980,Short-term Traffic Flow Prediction Based on Improved Deep Echo State Network,2021,,10.23919/ccc52363.2021.9550595,openalex,RC-3153,Short-Term Traffic Flow Prediction Based on I-SAWOA-Deep Echo State Network,2022,,10.1109/cac57257.2022.10055270,openalex,different,high,,Different conferences and years: CCC 2021 vs CAC 2022; methods differ ('Improved Deep ESN' vs 'I-SAWOA-Deep ESN'),Same task and base model family.,Two separate conference papers a year apart with differently named methods.
0.918,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","B (10.5281/zenodo.6816575) is DataCite resourceTypeGeneral 'Dataset', titled 'Raw data for ...'. Supporting data, not a copy of the article.",RC-0497,Reservoir computing on a silicon platform with a ferroelectric field-effect transistor,2022,Communications Engineering,10.1038/s44172-022-00021-8,openalex,RC-3621,Raw data for Reservoir computing on silicon platform with a ferroelectric field-effect transistor,2022,Zenodo (CERN European Organization for Nuclear Research),10.5281/zenodo.6816575,openalex,different,high,,Record b is Zenodo 'Raw data for ...' 10.5281/zenodo.6816575 vs article 10.1038/s44172-022-00021-8,Deposit holds the raw data for that paper.,A data deposit is a separate research output.
0.9104,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","Different records: A is a 2023 HAL deposit whose abstract reads 'Tutorial Proposal on ...'; B is the 2024 tutorial itself, with a different and longer author list. Proposal and delivered tutorial are separate deposits.",RC-0155,Sustainable Deep Learning for Time-series: Reservoir Computing,2023,HAL (Le Centre pour la Communication Scientifique Directe),,openalex,RC-0175,Tutorial on Sustainable Deep Learning for Time-series: Reservoir Computing,2024,HAL (Le Centre pour la Communication Scientifique Directe),,openalex,different,high,,"HAL: hal-04404054 (ECML-PKDD 2023, five authors incl. Morrison) vs hal-04908999 (ECML-PKDD 2024, five authors incl. Dominey)",Same tutorial topic and core presenters.,Two conference editions with different author lists.
0.907,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","A is the erratum: 1 reference, and Crossref records B with relation correction -> 10.1063/5.0050702, i.e. B is corrected BY A. An erratum is a separate record, as are the other 16 errata already in the corpus.",RC-2587,"Erratum: “On explaining the surprising success of reservoir computing forecaster of chaos? The universal machine learning dynamical system with contrasts to VAR and DMD” [Chaos 31(1), 013108 (2021)]",2021,Chaos An Interdisciplinary Journal of Nonlinear Science,10.1063/5.0050702,openalex,RC-6159,On explaining the surprising success of reservoir computing forecaster of chaos? The universal machine learning dynamical system with contrast to VAR and DMD,2021,Chaos An Interdisciplinary Journal of Nonlinear Science,10.1063/5.0024890,arxiv|openalex,different,high,,"10.1063/5.0050702 is 'Erratum: ...[Chaos 31(1), 013108 (2021)]' by Bollt, distinct from 10.1063/5.0024890",Erratum restates the title of the same article.,An erratum versus its original is an explicit DIFFERENT case.
0.9037,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","Different works with a coincidental title shape: 'Small-World Echo State Networks' (LNCS book-chapter, 32 refs, pp 550-560) against 'Dual-kernel echo state network' (Proc. Romanian Academy, 29 refs, pp 179-190).",RC-2880,Small-World Echo State Networks for Nonlinear Time-Series Prediction,2023,Lecture notes in computer science,10.1007/978-981-99-8082-6_42,openalex,RC-2941,Dual-kernel echo state network for nonlinear time series prediction,2023,Proceedings of the Romanian Academy Series A Mathematics Physics Technical Sciences Information Science,10.59277/pra-ser.a.24.2.10,openalex,different,high,,'Small-World Echo State Networks' (LNCS) vs 'Dual-kernel echo state network' (Proc. Romanian Academy A),Both ESN variants for nonlinear time-series prediction.,Entirely different architectures in unrelated venues.
0.9,different,"adjudicated (D12); signed off by S. Trajanovski, 2026-09-05","The documented example in search-strategy.md §5.1: 'Photonic Reservoir Computing' (an edited book, 10.1515/9783110583496) against 'Photovoltaic Reservoir Computing' (a nanoGe conference contribution). Two different words and two different works.",RC-0081,Photonic Reservoir Computing,2019,Ghent University Academic Bibliography (Ghent University),10.1515/9783110583496,openalex,RC-2914,Photovoltaic Reservoir Computing,2023,,10.29363/nanoge.neumatdecas.2023.033,openalex,different,high,,'Photonic Reservoir Computing' is a 2019 De Gruyter book; 'Photovoltaic Reservoir Computing' is a 2023 nanoGe conference abstract,Titles differ by a single word.,Photonic vs photovoltaic are different technologies; book vs abstract four years apart.
